Conduit Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Conduit Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Conduit Pharmaceuticals Price to Free Cash Flow Ratio Historical Data,Conduit Pharmaceuticals Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.88,,0.0
2024-09-30,0.12,$-13.75,0.0
2024-06-30,1.06,$-12.99,0.0
2024-03-31,3.67,$-11.52,0.0
2023-12-31,4.55,$-11.38,0.0
2023-09-30,5.97,$-6.18,0.0
2023-06-30,10.69,$-4.95,0.0
2023-03-31,10.52,$-3.06,0.0
2022-12-31,10.25,$-6.05,0.0
