SLM Price to Free Cash Flow Ratio Historical Data,SLM Price to Free Cash Flow Ratio Historical Data,SLM Price to Free Cash Flow Ratio Historical Data,SLM Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.87,,0.0
2024-12-31,27.58,$-1.50,0.0
2024-09-30,22.76,$-1.66,0.0
2024-06-30,20.58,$-1.36,0.0
2024-03-31,21.46,$-1.00,0.0
2023-12-31,18.73,$-0.62,0.0
2023-09-30,13.25,$-0.52,0.0
2023-06-30,15.75,$-0.24,0.0
2023-03-31,11.87,$-0.17,0.0
2022-12-31,15.78,$0.02,826.42
2022-09-30,13.22,$0.18,73.15
2022-06-30,14.95,$0.42,35.42
2022-03-31,17.12,$-0.06,0.0
2021-12-31,18.24,$-0.15,0.0
2021-09-30,16.22,$-0.23,0.0
2021-06-30,19.27,$-0.87,0.0
2021-03-31,16.51,$-0.70,0.0
2020-12-31,11.36,$-0.47,0.0
2020-09-30,7.4,$-0.41,0.0
2020-06-30,6.4,$-0.06,0.0
2020-03-31,6.53,$0.28,23.69
2019-12-31,8.06,$-0.04,0.0
2019-09-30,7.96,$-0.20,0.0
2019-06-30,8.74,$-0.20,0.0
2019-03-31,8.88,$-0.16,0.0
2018-12-31,7.43,$-0.23,0.0
2018-09-30,9.96,$-0.31,0.0
2018-06-30,10.23,$-0.32,0.0
2018-03-31,10.02,$-0.40,0.0
2017-12-31,10.1,$-0.39,0.0
2017-09-30,10.25,$-0.42,0.0
2017-06-30,10.28,$-0.46,0.0
2017-03-31,10.81,$-0.37,0.0
2016-12-31,9.85,$-0.46,0.0
2016-09-30,6.68,$-0.23,0.0
2016-06-30,5.52,$-0.26,0.0
2016-03-31,5.68,$-0.27,0.0
2015-12-31,5.83,$-0.20,0.0
2015-09-30,6.61,$-0.76,0.0
2015-06-30,8.82,$-0.67,0.0
2015-03-31,8.29,$-0.78,0.0
2014-12-31,9.11,$-1.01,0.0
2014-09-30,7.65,$-0.41,0.0
2014-06-30,7.43,$-0.25,0.0
2014-03-31,7.82,$-1.27,0.0
2013-12-31,8.34,$0.16,53.44
2013-09-30,7.86,$-3.90,0.0
2013-06-30,7.17,$-2.26,0.0
2013-03-31,6.39,$0.20,31.57
2012-12-31,5.3,$0.21,25.69
2012-09-30,4.83,$5.96,0.81
2012-06-30,4.78,$5.61,0.85
2012-03-31,4.76,$5.62,0.85
2011-12-31,4.01,$5.89,0.68
2011-09-30,3.7,$8.19,0.45
2011-06-30,4.96,$5.14,0.96
2011-03-31,4.49,$-1.75,0.0
2010-12-31,3.69,$-13.71,0.0
2010-09-30,3.39,$-22.01,0.0
2010-06-30,3.05,$-30.94,0.0
2010-03-31,3.67,$-32.54,0.0
2009-12-31,3.31,$-33.72,0.0
