Cheetah Net Supply Chain Service Price to Free Cash Flow Ratio Historical Data,Cheetah Net Supply Chain Service Price to Free Cash Flow Ratio Historical Data,Cheetah Net Supply Chain Service Price to Free Cash Flow Ratio Historical Data,Cheetah Net Supply Chain Service Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.65,,0.0
2024-12-31,3.06,$-0.06,0.0
2024-09-30,0.21,$2.73,0.08
2024-06-30,0.42,$5.56,0.07
