First Capital Price to Free Cash Flow Ratio Historical Data,First Capital Price to Free Cash Flow Ratio Historical Data,First Capital Price to Free Cash Flow Ratio Historical Data,First Capital Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,38.07,,6.83
2024-09-30,34.62,$5.57,6.21
2024-06-30,29.43,$4.95,5.95
2024-03-31,27.76,$4.63,6.0
2023-12-31,26.87,$4.04,6.64
2023-09-30,26.46,$5.02,5.27
2023-06-30,29.1,$4.94,5.89
2023-03-31,24.01,$5.36,4.48
2022-12-31,23.05,$4.80,4.8
2022-09-30,23.55,$5.36,4.4
2022-06-30,24.58,$5.66,4.34
2022-03-31,35.27,$5.12,6.89
2021-12-31,36.2,$6.40,5.66
2021-09-30,36.21,$5.44,6.65
2021-06-30,38.27,$5.03,7.6
2021-03-31,42.75,$4.38,9.77
2020-12-31,52.91,$3.42,15.46
2020-09-30,48.79,$3.93,12.43
2020-06-30,60.24,$2.87,20.97
2020-03-31,51.74,$3.20,16.16
2019-12-31,62.82,$3.32,18.92
2019-09-30,49.58,$2.83,17.54
2019-06-30,43.15,$3.66,11.78
2019-03-31,43.75,$4.30,10.17
2018-12-31,35.93,$3.88,9.26
2018-09-30,32.22,$3.54,9.09
2018-06-30,34.72,$3.56,9.74
2018-03-31,33.22,$3.31,10.03
2017-12-31,30.35,$3.65,8.32
2017-09-30,29.14,$2.94,9.91
2017-06-30,25.42,$2.26,11.27
2017-03-31,27.35,$2.52,10.85
2016-12-31,26.11,$1.88,13.89
2016-09-30,25.41,$1.63,15.54
2016-06-30,26.9,$2.46,10.93
2016-03-31,21.68,$1.03,21.04
2015-12-31,20.42,$1.77,11.51
2015-09-30,20.46,$2.63,7.77
2015-06-30,20.85,$3.08,6.77
2015-03-31,18.46,$2.78,6.64
2014-12-31,18.43,$2.30,8.0
2014-09-30,17.6,$2.10,8.37
2014-06-30,15.7,$1.26,12.45
2014-03-31,15.16,$4.23,3.59
2013-12-31,15.5,$3.42,4.53
2013-09-30,15.41,$3.37,4.57
2013-06-30,14.71,$2.95,4.98
2013-03-31,14.43,$1.31,11.05
2012-12-31,13.66,$2.37,5.77
2012-09-30,13.54,$2.13,6.35
2012-06-30,14.29,$2.23,6.41
2012-03-31,14.43,$2.37,6.09
2011-12-31,12.51,$3.13,4.0
2011-09-30,12.37,$3.73,3.32
2011-06-30,11.84,$3.59,3.29
2011-03-31,10.64,$2.85,3.74
2010-12-31,10.75,$1.93,5.57
2010-09-30,9.73,$0.89,10.92
2010-06-30,9.46,$1.70,5.56
2010-03-31,9.09,$1.23,7.38
2009-12-31,9.35,$0.53,17.74
