Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data,Salesforce Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,279.03,,21.86
2025-01-31,341.7,$12.77,26.77
2024-10-31,291.37,$12.22,23.84
2024-07-31,258.39,$11.74,22.02
2024-04-30,268.09,$11.53,23.25
2024-01-31,279.83,$9.65,28.99
2023-10-31,199.93,$8.95,22.33
2023-07-31,224.0,$7.65,29.27
2023-04-30,197.48,$7.14,27.67
2023-01-31,167.22,$6.33,26.41
2022-10-31,161.86,$5.70,28.38
2022-07-31,183.2,$5.65,32.43
2022-04-30,175.15,$5.67,30.92
2022-01-31,231.59,$5.42,42.7
2021-10-31,298.35,$5.66,52.68
2021-07-31,240.85,$5.79,41.59
2021-04-30,229.29,$5.97,38.42
2021-01-31,224.55,$4.40,51.05
2020-10-31,231.23,$4.05,57.16
2020-07-31,193.98,$3.75,51.73
2020-04-30,161.23,$3.74,43.06
2020-01-31,181.5,$4.34,41.83
2019-10-31,155.79,$4.02,38.73
2019-07-31,153.81,$4.10,37.47
2019-04-30,164.61,$4.11,40.03
2019-01-31,151.29,$3.62,41.83
2018-10-31,136.63,$3.34,40.92
2018-07-31,136.54,$3.36,40.67
2018-04-30,120.45,$3.29,36.56
2018-01-31,113.4,$3.00,37.82
2017-10-31,101.88,$2.53,40.3
2017-07-31,90.39,$2.56,35.26
2017-04-30,85.74,$2.50,34.26
2017-01-31,78.75,$2.43,32.46
2016-10-31,74.82,$2.26,33.13
2016-07-31,81.43,$2.34,34.8
2016-04-30,75.46,$2.51,30.1
2016-01-31,67.76,$2.10,32.31
2015-10-31,77.36,$1.90,40.7
2015-07-31,72.97,$1.85,39.53
2015-04-30,72.49,$1.75,41.36
2015-01-31,56.2,$1.43,39.37
2014-10-31,63.7,$1.35,47.16
2014-07-31,54.01,$1.42,38.03
2014-04-30,51.42,$1.25,41.16
2014-01-31,60.26,$0.96,62.48
2013-10-31,53.12,$1.04,51.2
2013-07-31,43.55,$1.00,43.74
2013-04-30,40.93,$1.08,37.96
2013-01-31,42.84,$0.99,43.12
2012-10-31,36.33,$0.94,38.48
2012-07-31,30.95,$1.03,30.08
2012-04-30,38.76,$0.92,42.19
2012-01-31,29.07,$0.81,35.77
2011-10-31,33.14,$0.70,47.48
2011-07-31,36.02,$0.62,58.4
2011-04-30,34.5,$0.62,55.26
2011-01-31,32.14,$0.67,47.69
2010-10-31,28.89,$0.59,48.88
2010-07-31,24.63,$0.55,45.09
2010-04-30,21.3,$0.51,41.6
2010-01-31,15.82,$0.43,36.6
2009-10-31,14.12,$0.60,23.44
