Houlihan Lokey Price to Free Cash Flow Ratio Historical Data,Houlihan Lokey Price to Free Cash Flow Ratio Historical Data,Houlihan Lokey Price to Free Cash Flow Ratio Historical Data,Houlihan Lokey Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,162.27,,16.41
2024-12-31,173.66,$9.89,17.57
2024-09-30,157.54,$7.35,21.43
2024-06-30,133.95,$4.93,27.15
2024-03-31,127.32,$3.84,33.16
2023-12-31,118.59,$3.90,30.43
2023-09-30,105.4,$3.74,28.15
2023-06-30,96.23,$3.18,30.3
2023-03-31,85.11,$1.27,67.24
2022-12-31,84.32,$-0.98,0.0
2022-09-30,72.53,$5.93,12.23
2022-06-30,75.43,$7.89,9.56
2022-03-31,83.38,$10.66,7.82
2021-12-31,97.89,$13.70,7.15
2021-09-30,86.74,$10.07,8.62
2021-06-30,76.66,$8.68,8.83
2021-03-31,61.99,$8.24,7.52
2020-12-31,62.34,$6.90,9.03
2020-09-30,54.48,$3.97,13.74
2020-06-30,51.05,$4.06,12.57
2020-03-31,47.58,$4.06,11.71
2019-12-31,44.35,$3.40,13.03
2019-09-30,40.67,$3.10,13.14
2019-06-30,39.87,$3.34,11.94
2019-03-31,40.77,$3.30,12.34
2018-12-31,32.54,$2.96,11.0
2018-09-30,39.47,$2.92,13.5
2018-06-30,44.74,$2.82,15.89
2018-03-31,38.74,$3.66,10.58
2017-12-31,39.29,$3.52,11.16
2017-09-30,33.69,$4.04,8.34
2017-06-30,29.88,$3.74,8.0
2017-03-31,29.32,$3.57,8.22
2016-12-31,26.32,$2.75,9.58
2016-09-30,21.07,$1.48,14.27
2016-06-30,18.68,$-1.10,0.0
