PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data,PPG Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,111.26,,37.39
2024-12-31,119.45,$2.98,40.14
2024-09-30,131.72,$5.47,24.09
2024-06-30,124.48,$6.10,20.41
2024-03-31,142.58,$6.80,20.96
2023-12-31,146.49,$7.99,18.34
2023-09-30,126.5,$6.36,19.9
2023-06-30,143.86,$4.80,29.95
2023-03-31,128.99,$3.95,32.63
2022-12-31,120.84,$2.01,60.12
2022-09-30,105.81,$2.00,52.88
2022-06-30,108.76,$2.15,50.7
2022-03-31,124.1,$3.51,35.34
2021-12-31,162.63,$5.17,31.45
2021-09-30,134.38,$7.19,18.69
2021-06-30,158.96,$8.54,18.62
2021-03-31,140.27,$8.07,17.38
2020-12-31,134.1,$7.68,17.47
2020-09-30,113.08,$6.79,16.66
2020-06-30,97.78,$6.50,15.04
2020-03-31,76.65,$6.65,11.53
2019-12-31,121.87,$7.00,17.41
2019-09-30,107.77,$6.88,15.66
2019-06-30,105.66,$5.71,18.49
2019-03-31,101.75,$5.03,20.21
2018-12-31,91.76,$4.30,21.32
2018-09-30,97.52,$3.30,29.54
2018-06-30,92.29,$3.54,26.09
2018-03-31,98.88,$3.69,26.81
2017-12-31,103.1,$4.69,22.0
2017-09-30,95.53,$4.81,19.86
2017-06-30,96.25,$5.39,17.86
2017-03-31,91.64,$3.39,27.03
2016-12-31,82.32,$3.63,22.67
2016-09-30,89.41,$4.72,18.94
2016-06-30,89.75,$4.71,19.06
2016-03-31,95.72,$7.21,13.28
2015-12-31,84.52,$5.35,15.79
2015-09-30,74.74,$3.47,21.55
2015-06-30,97.45,$2.93,33.24
2015-03-31,95.64,$1.42,67.51
2014-12-31,97.74,$3.45,28.35
2014-09-30,82.92,$3.54,23.43
2014-06-30,88.27,$3.88,22.74
2014-03-31,80.99,$5.20,15.58
2013-12-31,79.14,$4.47,17.71
2013-09-30,69.48,$5.44,12.76
2013-06-30,60.66,$4.82,12.6
2013-03-31,55.28,$4.28,12.92
2012-12-31,55.61,$4.70,11.84
2012-09-30,46.95,$4.66,10.08
2012-06-30,43.16,$4.30,10.05
2012-03-31,38.75,$4.15,9.33
2011-12-31,33.55,$3.65,9.2
2011-09-30,28.22,$3.21,8.78
2011-06-30,35.98,$2.70,13.35
2011-03-31,37.49,$2.79,13.43
2010-12-31,32.9,$3.12,10.54
2010-09-30,28.29,$3.29,8.61
2010-06-30,23.29,$4.26,5.47
2010-03-31,25.01,$4.24,5.9
2009-12-31,22.19,$3.47,6.39
