First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data,First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data,First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data,First Interstate BancSystem Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.63,,8.57
2024-12-31,32.47,$3.34,9.71
2024-09-30,30.2,$3.08,9.82
2024-06-30,26.88,$3.46,7.78
2024-03-31,25.9,$4.18,6.19
2023-12-31,28.74,$3.89,7.4
2023-09-30,22.88,$4.52,5.06
2023-06-30,21.52,$4.85,4.44
2023-03-31,26.44,$4.99,5.3
2022-12-31,33.79,$5.10,6.62
2022-09-30,34.91,$5.06,6.9
2022-06-30,32.64,$5.04,6.48
2022-03-31,31.13,$3.89,8.01
2021-12-31,34.06,$4.43,7.68
2021-09-30,33.39,$4.77,6.99
2021-06-30,34.38,$5.62,6.12
2021-03-31,37.51,$4.45,8.43
2020-12-31,32.9,$3.89,8.45
2020-09-30,25.42,$3.58,7.11
2020-06-30,24.43,$1.47,16.59
2020-03-31,22.52,$1.94,11.61
2019-12-31,31.88,$2.13,14.97
2019-09-30,30.39,$1.77,17.19
2019-06-30,29.67,$2.72,10.91
2019-03-31,29.61,$3.53,8.38
2018-12-31,26.97,$3.83,7.03
2018-09-30,32.84,$4.34,7.56
2018-06-30,30.73,$2.94,10.46
2018-03-31,28.61,$2.43,11.77
2017-12-31,28.77,$2.88,9.99
2017-09-30,27.3,$2.29,11.94
2017-06-30,26.38,$3.40,7.75
2017-03-31,27.94,$3.59,7.78
2016-12-31,29.81,$2.48,12.02
2016-09-30,21.93,$2.69,8.14
2016-06-30,19.41,$2.74,7.09
2016-03-31,19.27,$3.15,6.12
2015-12-31,19.75,$2.74,7.21
2015-09-30,18.78,$3.41,5.5
2015-06-30,18.58,$3.20,5.8
2015-03-31,18.5,$2.57,7.21
2014-12-31,18.35,$3.04,6.04
2014-09-30,17.43,$2.31,7.55
2014-06-30,17.72,$2.91,6.09
2014-03-31,18.28,$3.42,5.34
2013-12-31,18.26,$3.93,4.65
2013-09-30,15.46,$4.39,3.52
2013-06-30,13.19,$4.43,2.98
2013-03-31,11.89,$4.09,2.91
2012-12-31,9.76,$3.81,2.56
2012-09-30,9.3,$3.49,2.67
2012-06-30,8.86,$2.36,3.75
2012-03-31,8.94,$2.62,3.41
2011-12-31,7.97,$3.50,2.28
2011-09-30,6.49,$3.37,1.93
2011-06-30,8.84,$4.02,2.2
2011-03-31,8.1,$3.33,2.43
2010-12-31,9.0,$3.03,2.97
