Replimune Price to Free Cash Flow Ratio Historical Data,Replimune Price to Free Cash Flow Ratio Historical Data,Replimune Price to Free Cash Flow Ratio Historical Data,Replimune Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,11.6,,0.0
2024-12-31,12.11,$-2.45,0.0
2024-09-30,10.96,$-2.62,0.0
2024-06-30,9.0,$-2.87,0.0
2024-03-31,8.17,$-2.87,0.0
2023-12-31,8.43,$-2.71,0.0
2023-09-30,17.11,$-2.41,0.0
2023-06-30,23.22,$-2.34,0.0
2023-03-31,17.66,$-2.24,0.0
2022-12-31,27.2,$-2.14,0.0
2022-09-30,17.27,$-2.06,0.0
2022-06-30,17.48,$-1.90,0.0
2022-03-31,16.98,$-1.62,0.0
2021-12-31,27.1,$-1.59,0.0
2021-09-30,29.64,$-1.43,0.0
2021-06-30,38.42,$-1.34,0.0
2021-03-31,30.51,$-1.38,0.0
2020-12-31,38.15,$-1.35,0.0
2020-09-30,23.02,$-1.62,0.0
2020-06-30,24.85,$-1.92,0.0
2020-03-31,9.97,$-1.96,0.0
2019-12-31,14.35,$-2.13,0.0
2019-09-30,13.9,$-1.76,0.0
2019-06-30,14.66,$-1.65,0.0
