Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data,Applied Materials Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,154.38,,21.63
2025-01-31,180.35,$7.14,25.27
2024-10-31,181.17,$8.98,20.18
2024-07-31,211.3,$7.84,26.94
2024-04-30,197.44,$8.11,24.36
2024-01-31,163.03,$9.16,17.81
2023-10-31,131.04,$8.99,14.58
2023-07-31,149.77,$8.21,18.24
2023-04-30,111.38,$6.93,16.08
2023-01-31,109.6,$4.79,22.87
2022-10-31,86.59,$5.26,16.47
2022-07-31,103.67,$5.60,18.52
2022-04-30,107.69,$5.81,18.53
2022-01-31,134.6,$6.59,20.42
2021-10-31,132.89,$5.19,25.58
2021-07-31,135.84,$5.42,25.06
2021-04-30,128.6,$4.56,28.22
2021-01-31,93.52,$4.11,22.73
2020-10-31,57.13,$3.66,15.59
2020-07-31,61.84,$3.17,19.51
2020-04-30,47.57,$3.08,15.44
2020-01-31,55.35,$3.20,17.31
2019-10-31,51.61,$2.97,17.38
2019-07-31,46.75,$3.06,15.28
2019-04-30,41.52,$2.86,14.53
2019-01-31,36.63,$2.63,13.92
2018-10-31,30.64,$3.08,9.93
2018-07-31,45.11,$2.78,16.23
2018-04-30,45.89,$3.43,13.4
2018-01-31,49.46,$3.69,13.41
2017-10-31,51.96,$3.18,16.35
2017-07-31,40.71,$3.34,12.2
2017-04-30,37.22,$3.00,12.42
2017-01-31,31.31,$2.62,11.95
2016-10-31,26.5,$2.07,12.78
2016-07-31,23.88,$1.72,13.89
2016-04-30,18.51,$1.09,17.02
2016-01-31,15.88,$0.88,17.94
2015-10-31,15.0,$0.77,19.4
2015-07-31,15.43,$0.71,21.69
2015-04-30,17.51,$0.90,19.5
2015-01-31,20.12,$1.01,19.9
2014-10-31,19.38,$1.27,15.3
2014-07-31,18.3,$0.96,19.16
2014-04-30,16.56,$0.80,20.69
2014-01-31,14.54,$0.64,22.67
2013-10-31,15.34,$0.35,43.89
2013-07-31,13.93,$0.66,21.04
2013-04-30,12.3,$0.89,13.76
2013-01-31,10.87,$1.19,9.17
2012-10-31,8.85,$1.32,6.69
2012-07-31,9.03,$1.51,5.97
2012-04-30,9.85,$1.43,6.9
2012-01-31,10.02,$1.48,6.78
2011-10-31,9.99,$1.67,5.98
2011-07-31,9.92,$1.56,6.36
2011-04-30,12.56,$1.35,9.33
2011-01-31,12.5,$1.22,10.28
2010-10-31,9.79,$1.15,8.49
2010-07-31,9.29,$0.92,10.07
2010-04-30,10.79,$0.83,13.04
2010-01-31,9.49,$0.49,19.22
2009-10-31,9.46,$0.06,150.2
