One Stop Systems Price to Free Cash Flow Ratio Historical Data,One Stop Systems Price to Free Cash Flow Ratio Historical Data,One Stop Systems Price to Free Cash Flow Ratio Historical Data,One Stop Systems Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.72,,0.0
2024-12-31,3.35,$-0.02,0.0
2024-09-30,2.39,$0.03,69.68
2024-06-30,2.41,$-0.10,0.0
2024-03-31,3.26,$0.03,98.49
2023-12-31,2.1,$-0.06,0.0
2023-09-30,1.85,$-0.01,0.0
2023-06-30,2.87,$0.03,103.61
2023-03-31,2.48,$-0.17,0.0
2022-12-31,3.01,$-0.42,0.0
2022-09-30,3.2,$-0.31,0.0
2022-06-30,3.94,$-0.24,0.0
2022-03-31,3.82,$-0.22,0.0
2021-12-31,4.95,$0.26,19.08
2021-09-30,5.03,$0.21,24.52
2021-06-30,5.79,$0.27,21.48
2021-03-31,6.34,$0.22,29.45
2020-12-31,4.0,$-0.06,0.0
2020-09-30,2.1,$-0.02,0.0
2020-06-30,1.97,$-0.23,0.0
2020-03-31,1.44,$0.01,107.46
2019-12-31,2.02,$-0.00,0.0
2019-09-30,2.95,$-0.10,0.0
2019-06-30,1.71,$-0.03,0.0
2019-03-31,2.04,$-0.03,0.0
2018-12-31,1.94,$-0.36,0.0
