Horace Mann Educators Price to Free Cash Flow Ratio Historical Data,Horace Mann Educators Price to Free Cash Flow Ratio Historical Data,Horace Mann Educators Price to Free Cash Flow Ratio Historical Data,Horace Mann Educators Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.34,,3.79
2024-12-31,39.23,$10.89,3.6
2024-09-30,34.67,$8.73,3.97
2024-06-30,32.04,$6.34,5.06
2024-03-31,35.96,$7.01,5.13
2023-12-31,31.48,$7.30,4.31
2023-09-30,28.01,$6.13,4.57
2023-06-30,27.96,$5.91,4.73
2023-03-31,31.22,$3.92,7.97
2022-12-31,34.51,$4.10,8.41
2022-09-30,32.3,$3.42,9.45
2022-06-30,34.82,$4.00,8.71
2022-03-31,37.61,$3.76,10.01
2021-12-31,34.53,$4.86,7.11
2021-09-30,35.21,$4.05,8.7
2021-06-30,32.85,$5.01,6.55
2021-03-31,37.62,$7.48,5.03
2020-12-31,36.35,$6.19,5.88
2020-09-30,28.68,$4.48,6.41
2020-06-30,31.26,$4.65,6.72
2020-03-31,30.88,$2.14,14.44
2019-12-31,36.52,$3.05,11.99
2019-09-30,38.5,$4.53,8.5
2019-06-30,33.28,$3.50,9.5
2019-03-31,28.88,$6.05,4.77
2018-12-31,30.49,$4.80,6.36
2018-09-30,36.28,$5.66,6.4
2018-06-30,35.81,$6.08,5.89
2018-03-31,34.11,$6.14,5.55
2017-12-31,34.96,$6.17,5.66
2017-09-30,31.0,$6.82,4.55
2017-06-30,29.56,$6.02,4.91
2017-03-31,31.88,$4.92,6.48
2016-12-31,33.02,$5.10,6.48
2016-09-30,28.1,$5.11,5.5
2016-06-30,25.71,$5.38,4.78
2016-03-31,23.93,$5.24,4.56
2015-12-31,24.85,$4.90,5.07
2015-09-30,24.69,$5.11,4.83
2015-06-30,26.84,$5.02,5.35
2015-03-31,25.05,$5.59,4.48
2014-12-31,24.12,$5.26,4.59
2014-09-30,20.58,$5.24,3.92
2014-06-30,22.39,$5.44,4.12
2014-03-31,20.61,$5.37,3.84
2013-12-31,22.24,$4.95,4.5
2013-09-30,19.88,$4.87,4.09
2013-06-30,16.96,$4.67,3.63
2013-03-31,14.38,$4.52,3.18
2012-12-31,13.64,$4.90,2.78
2012-09-30,12.27,$4.61,2.66
2012-06-30,11.76,$3.82,3.08
2012-03-31,11.77,$2.99,3.93
2011-12-31,9.09,$2.80,3.25
2011-09-30,7.49,$2.55,2.94
2011-06-30,10.16,$2.82,3.61
2011-03-31,10.86,$3.81,2.85
2010-12-31,11.58,$3.85,3.01
2010-09-30,11.34,$4.24,2.67
2010-06-30,9.72,$4.41,2.2
2010-03-31,9.51,$4.48,2.12
2009-12-31,7.81,$4.41,1.77
