Goosehead Insurance Price to Free Cash Flow Ratio Historical Data,Goosehead Insurance Price to Free Cash Flow Ratio Historical Data,Goosehead Insurance Price to Free Cash Flow Ratio Historical Data,Goosehead Insurance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,115.32,,62.59
2024-12-31,107.22,$1.84,58.2
2024-09-30,89.3,$1.41,63.41
2024-06-30,57.44,$1.49,38.56
2024-03-31,66.62,$1.61,41.33
2023-12-31,75.8,$1.21,62.69
2023-09-30,74.53,$1.69,44.2
2023-06-30,62.89,$1.50,42.02
2023-03-31,52.2,$1.43,36.59
2022-12-31,34.34,$1.19,28.86
2022-09-30,35.64,$1.06,33.66
2022-06-30,45.67,$0.71,63.99
2022-03-31,78.57,$0.43,183.75
2021-12-31,130.08,$1.09,119.23
2021-09-30,152.29,$1.13,134.45
2021-06-30,125.66,$1.25,100.69
2021-03-31,105.8,$1.28,82.77
2020-12-31,123.15,$0.80,154.35
2020-09-30,85.48,$0.83,102.94
2020-06-30,73.39,$0.67,109.76
2020-03-31,43.58,$0.90,48.6
2019-12-31,41.4,$1.09,37.99
2019-09-30,48.19,$0.98,49.4
2019-06-30,46.68,$0.68,68.64
2019-03-31,27.22,$0.64,42.57
