Repay Holdings Price to Free Cash Flow Ratio Historical Data,Repay Holdings Price to Free Cash Flow Ratio Historical Data,Repay Holdings Price to Free Cash Flow Ratio Historical Data,Repay Holdings Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.78,,4.94
2024-12-31,7.63,$1.17,6.52
2024-09-30,8.16,$1.04,7.85
2024-06-30,10.56,$0.75,14.01
2024-03-31,11.0,$0.66,16.77
2023-12-31,8.54,$0.59,14.57
2023-09-30,7.59,$0.46,16.34
2023-06-30,7.83,$0.31,25.52
2023-03-31,6.57,$0.30,21.79
2022-12-31,8.05,$0.34,23.8
2022-09-30,7.06,$0.24,29.79
2022-06-30,12.85,$0.38,33.67
2022-03-31,14.77,$0.42,35.09
2021-12-31,18.27,$0.36,51.03
2021-09-30,23.03,$0.76,30.31
2021-06-30,24.04,$0.69,35.05
2021-03-31,23.48,$0.43,55.01
2020-12-31,27.25,$0.53,51.72
2020-09-30,23.5,$0.26,89.18
2020-06-30,24.63,$0.41,59.46
2020-03-31,14.35,$0.53,27.17
2019-12-31,14.65,$0.37,39.16
2019-09-30,13.33,$0.21,62.73
2019-06-30,10.43,0,0.0
