Altimmune Price to Free Cash Flow Ratio Historical Data,Altimmune Price to Free Cash Flow Ratio Historical Data,Altimmune Price to Free Cash Flow Ratio Historical Data,Altimmune Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,5.78,,0.0
2024-12-31,7.21,$-1.12,0.0
2024-09-30,6.14,$-1.18,0.0
2024-06-30,6.65,$-1.14,0.0
2024-03-31,10.18,$-1.27,0.0
2023-12-31,11.25,$-1.42,0.0
2023-09-30,2.6,$-1.52,0.0
2023-06-30,3.53,$-1.47,0.0
2023-03-31,4.22,$-1.42,0.0
2022-12-31,16.45,$-1.34,0.0
2022-09-30,12.77,$-1.46,0.0
2022-06-30,11.7,$-1.61,0.0
2022-03-31,6.09,$-1.89,0.0
2021-12-31,9.16,$-2.19,0.0
2021-09-30,11.31,$-2.36,0.0
2021-06-30,9.85,$-1.92,0.0
2021-03-31,14.13,$-1.67,0.0
2020-12-31,11.28,$-1.35,0.0
2020-09-30,13.2,$-0.86,0.0
2020-06-30,10.71,$-0.98,0.0
2020-03-31,3.21,$-0.80,0.0
2019-12-31,1.89,$-0.73,0.0
2019-09-30,1.95,$-0.28,0.0
2019-06-30,2.38,$0.12,19.83
2019-03-31,2.9,$2.30,1.26
2018-12-31,2.06,$-3.69,0.0
2018-09-30,4.4,$-21.07,0.0
2018-06-30,13.35,$-23.71,0.0
2018-03-31,34.8,$-38.58,0.0
2017-12-31,59.7,$-47.05,0.0
2017-09-30,69.6,$-36.44,0.0
2017-06-30,96.0,$-42.74,0.0
2017-03-31,243.45,$-36.51,0.0
2016-12-31,251.21,$-28.14,0.0
2016-09-30,224.16,$-30.30,0.0
2016-06-30,188.6,$-27.90,0.0
2016-03-31,146.09,$-8.92,0.0
2015-12-31,146.86,$-15.46,0.0
2015-09-30,102.8,$-25.79,0.0
2015-06-30,139.13,$-29.26,0.0
2015-03-31,125.99,$-44.38,0.0
2014-12-31,139.91,$-44.67,0.0
2014-09-30,137.59,$-62.91,0.0
2014-06-30,108.99,$-57.05,0.0
2014-03-31,141.45,$-57.58,0.0
2013-12-31,143.77,$-42.97,0.0
2013-09-30,162.32,$-19.05,0.0
2013-06-30,122.9,$-4.40,0.0
2013-03-31,131.4,$-17.90,0.0
2012-12-31,86.57,$-14.02,0.0
2012-09-30,91.21,$4.56,19.99
2012-06-30,107.44,$-28.30,0.0
2012-03-31,136.81,$-19.95,0.0
2011-12-31,98.17,$-38.84,0.0
2011-09-30,136.04,$-106.09,0.0
2011-06-30,227.25,$-93.46,0.0
2011-03-31,246.57,$-105.49,0.0
2010-12-31,326.96,$-141.64,0.0
2010-09-30,117.49,$-145.99,0.0
2010-06-30,123.67,$-233.89,0.0
2010-03-31,112.08,$-287.47,0.0
2009-12-31,151.49,$-317.73,0.0
