Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data,Marriott Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,244.84,,35.11
2024-12-31,278.94,$6.97,40.0
2024-09-30,248.05,$9.19,27.0
2024-06-30,240.55,$9.40,25.59
2024-03-31,250.35,$8.63,29.01
2023-12-31,223.28,$8.87,25.16
2023-09-30,194.13,$7.79,24.92
2023-06-30,180.97,$7.49,24.16
2023-03-31,163.08,$7.73,21.11
2022-12-31,145.9,$6.24,23.39
2022-09-30,136.99,$6.43,21.32
2022-06-30,132.71,$5.68,23.35
2022-03-31,171.18,$4.10,41.75
2021-12-31,160.94,$3.06,52.68
2021-09-30,144.24,$1.89,76.32
2021-06-30,132.97,$0.43,310.89
2021-03-31,144.25,$3.24,44.49
2020-12-31,128.49,$5.41,23.73
2020-09-30,90.17,$6.83,13.19
2020-06-30,83.5,$7.65,10.91
2020-03-31,72.86,$6.18,11.78
2019-12-31,146.9,$4.25,34.54
2019-09-30,120.21,$4.12,29.15
2019-06-30,135.1,$4.92,27.46
2019-03-31,119.99,$4.71,25.47
2018-12-31,103.8,$6.44,16.13
2018-09-30,125.79,$8.64,14.56
2018-06-30,120.22,$8.17,14.71
2018-03-31,128.75,$9.08,14.17
2017-12-31,128.21,$8.96,14.3
2017-09-30,103.88,$6.87,15.13
2017-06-30,94.2,$6.36,14.82
2017-03-31,88.16,$6.00,14.69
2016-12-31,77.13,$5.52,13.98
2016-09-30,62.57,$5.55,11.26
2016-06-30,61.5,$5.91,10.4
2016-03-31,65.57,$6.75,9.72
2015-12-31,61.52,$6.90,8.91
2015-09-30,62.4,$6.42,9.72
2015-06-30,67.8,$5.74,11.8
2015-03-31,72.98,$4.37,16.68
2014-12-31,70.72,$4.20,16.82
2014-09-30,63.19,$4.13,15.31
2014-06-30,57.78,$3.92,14.74
2014-03-31,50.32,$3.91,12.88
2013-12-31,44.19,$2.70,16.39
2013-09-30,37.53,$1.98,18.95
2013-06-30,35.87,$2.84,12.63
2013-03-31,37.37,$2.21,16.89
2012-12-31,32.87,$1.85,17.74
2012-09-30,34.36,$2.11,16.32
2012-06-30,34.33,$1.99,17.29
2012-03-31,33.03,$2.15,15.4
2011-12-31,25.38,$2.56,9.93
2011-09-30,22.28,$2.69,8.27
2011-06-30,28.93,$2.37,12.18
2011-03-31,28.92,$2.37,12.19
2010-12-31,33.69,$2.53,13.3
2010-09-30,28.99,$2.70,10.74
2010-06-30,24.2,$2.52,9.61
2010-03-31,25.44,$1.96,13.01
2009-12-31,21.96,$2.03,10.83
