Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data,Cemex S.A.B De C.V Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,6.03,,22.33
2024-09-30,6.08,$0.27,22.51
2024-06-30,6.35,$0.27,23.5
2024-03-31,8.92,$0.27,33.03
2023-12-31,7.67,$0.27,28.41
2023-09-30,6.43,$0.13,50.42
2023-06-30,7.01,$0.13,54.92
2023-03-31,5.47,$0.13,42.9
2022-12-31,4.01,$0.13,31.42
2022-09-30,3.4,$0.24,14.27
2022-06-30,3.88,$0.24,16.31
2022-03-31,5.24,$0.24,22.01
2021-12-31,6.71,$0.48,14.04
2021-09-30,7.1,$0.27,26.13
2021-03-31,6.9,$0.24,28.75
2020-12-31,5.12,$0.24,21.32
2020-09-30,3.76,$0.12,32.51
2020-06-30,2.85,$0.11,24.98
2020-03-31,2.1,$0.15,14.15
2019-12-31,3.74,$0.15,25.23
2019-09-30,3.83,$0.03,150.77
2019-06-30,4.14,$0.20,20.33
2019-03-31,4.48,$0.20,22.27
2018-12-31,4.65,$0.20,23.13
2018-09-30,6.8,$0.43,15.77
2018-06-30,6.33,$0.22,28.44
2018-03-31,6.39,$0.22,28.7
2017-12-31,7.24,$0.22,32.52
2017-09-30,8.77,$0.38,23.38
2017-06-30,9.1,$0.38,24.25
2017-03-31,8.42,$0.38,22.45
2016-12-31,7.46,$0.38,19.88
2016-09-30,7.37,$0.44,16.7
2016-06-30,5.73,$0.44,12.97
2016-03-31,6.5,$0.44,14.72
2015-12-31,4.97,$0.44,11.26
2015-09-30,6.24,$0.31,20.31
2015-06-30,8.18,$0.55,14.78
2015-03-31,8.13,$0.31,26.45
2014-12-31,8.75,$0.31,28.46
2014-09-30,11.19,$-0.25,0.0
2014-06-30,11.36,$-0.03,0.0
2014-03-31,10.42,$0.06,161.61
2013-12-31,9.76,$-0.25,0.0
2013-09-30,9.23,$0.00,0.0
2013-06-30,8.73,$-0.46,0.0
2013-03-31,9.69,$-0.31,0.0
2012-12-31,7.83,$0.00,0.0
2012-09-30,6.61,$1.18,5.6
2012-06-30,5.34,$1.18,4.53
2012-03-31,6.16,$1.14,5.4
2011-12-31,4.11,$1.18,3.48
2011-09-30,2.41,$0.19,12.4
2011-06-30,6.56,$1.03,6.37
2011-03-31,6.81,$1.07,6.37
2010-12-31,7.86,$1.03,7.63
2010-09-30,6.24,$2.42,2.57
2010-06-30,7.1,$1.59,4.46
2010-03-31,7.2,$1.59,4.53
2009-12-31,8.34,$1.59,5.25
