Altisource Portfolio Solutions S.A Price to Free Cash Flow Ratio Historical Data,Altisource Portfolio Solutions S.A Price to Free Cash Flow Ratio Historical Data,Altisource Portfolio Solutions S.A Price to Free Cash Flow Ratio Historical Data,Altisource Portfolio Solutions S.A Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,1.2,$-0.31,0.0
2024-06-30,1.41,$-0.52,0.0
2024-03-31,1.94,$-0.89,0.0
2023-12-31,3.56,$-0.97,0.0
2023-09-30,3.99,$-1.58,0.0
2023-06-30,5.7,$-1.73,0.0
2023-03-31,4.6,$-1.95,0.0
2022-12-31,9.46,$-2.85,0.0
2022-09-30,13.11,$-3.24,0.0
2022-06-30,10.74,$-4.01,0.0
2022-03-31,11.83,$-3.81,0.0
2021-12-31,11.22,$-3.85,0.0
2021-09-30,9.88,$-3.22,0.0
2021-06-30,8.89,$-2.28,0.0
2021-03-31,9.19,$-2.57,0.0
2020-12-31,12.88,$-1.61,0.0
2020-09-30,12.67,$0.42,29.83
2020-06-30,14.74,$-0.02,0.0
2020-03-31,7.67,$3.10,2.47
2019-12-31,19.33,$2.78,6.94
2019-09-30,20.22,$2.83,7.14
2019-06-30,19.66,$4.60,4.28
2019-03-31,23.67,$3.89,6.09
2018-12-31,22.49,$3.78,5.95
2018-09-30,32.23,$3.07,10.51
2018-06-30,29.17,$3.78,7.72
2018-03-31,26.56,$3.46,7.68
2017-12-31,28.0,$2.97,9.42
2017-09-30,25.87,$2.86,9.06
2017-06-30,21.82,$2.74,7.97
2017-03-31,36.8,$3.08,11.96
2016-12-31,26.59,$5.28,5.04
2016-09-30,32.4,$8.30,3.9
2016-06-30,27.84,$9.01,3.09
2016-03-31,24.15,$9.82,2.46
2015-12-31,27.81,$7.72,3.6
2015-09-30,23.84,$6.32,3.77
2015-06-30,30.79,$3.88,7.94
2015-03-31,12.87,$3.72,3.46
2014-12-31,33.79,$5.61,6.02
2014-09-30,100.8,$4.82,20.92
2014-06-30,114.58,$7.21,15.88
2014-03-31,121.66,$6.88,17.67
2013-12-31,158.63,$6.04,26.26
2013-09-30,140.01,$4.83,28.97
2013-06-30,94.3,$4.10,23.02
2013-03-31,69.75,$2.88,24.22
2012-12-31,86.66,$3.24,26.72
2012-09-30,80.73,$4.37,18.49
2012-06-30,68.54,$3.68,18.61
2012-03-31,56.76,$3.58,15.83
2011-12-31,46.97,$3.71,12.68
2011-09-30,33.12,$2.88,11.52
2011-06-30,34.44,$2.19,15.74
2011-03-31,28.72,$1.53,18.76
2010-12-31,26.87,$1.57,17.13
2010-09-30,29.15,$1.08,27.04
2010-06-30,23.16,$1.79,12.94
