SLR Investment Price to Free Cash Flow Ratio Historical Data,SLR Investment Price to Free Cash Flow Ratio Historical Data,SLR Investment Price to Free Cash Flow Ratio Historical Data,SLR Investment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,17.0,,3.0
2024-12-31,16.16,$5.67,2.85
2024-09-30,14.68,$3.40,4.32
2024-06-30,15.29,$1.61,9.49
2024-03-31,14.22,$-1.45,0.0
2023-12-31,13.56,$-1.41,0.0
2023-09-30,13.52,$2.37,5.71
2023-06-30,12.2,$-2.52,0.0
2023-03-31,12.5,$-5.26,0.0
2022-12-31,11.25,$1.76,6.39
2022-09-30,9.67,$-7.86,0.0
2022-06-30,11.17,$-4.61,0.0
2022-03-31,13.49,$5.13,2.63
2021-12-31,13.41,$-3.20,0.0
2021-09-30,13.61,$-6.01,0.0
2021-06-30,12.99,$-4.25,0.0
2021-03-31,12.11,$-5.87,0.0
2020-12-31,11.69,$-1.45,0.0
2020-09-30,10.33,$12.76,0.81
2020-06-30,10.18,$11.21,0.91
2020-03-31,7.22,$8.94,0.81
2019-12-31,12.14,$4.44,2.73
2019-09-30,11.92,$-1.15,0.0
2019-06-30,11.62,$-0.74,0.0
2019-03-31,11.57,$3.16,3.67
2018-12-31,10.45,$4.52,2.31
2018-09-30,11.4,$1.44,7.89
2018-06-30,10.69,$-6.69,0.0
2018-03-31,10.42,$-9.00,0.0
2017-12-31,10.17,$-5.76,0.0
2017-09-30,10.68,$-1.26,0.0
2017-06-30,10.58,$14.19,0.75
2017-03-31,10.74,$6.94,1.55
2016-12-31,9.71,$3.51,2.77
2016-09-30,9.39,$-4.83,0.0
2016-06-30,8.55,$-14.87,0.0
2016-03-31,7.59,$-11.19,0.0
2015-12-31,7.06,$-11.73,0.0
2015-09-30,6.63,$-3.26,0.0
2015-06-30,7.37,$-3.16,0.0
2015-03-31,8.11,$0.84,9.64
2014-12-31,7.07,$3.65,1.94
2014-09-30,7.17,$13.20,0.54
2014-06-30,8.0,$21.93,0.36
2014-03-31,8.03,$19.98,0.4
2013-12-31,8.17,$17.92,0.46
2013-09-30,7.89,$0.45,17.68
2013-06-30,8.07,$-6.51,0.0
2013-03-31,8.0,$-7.88,0.0
2012-12-31,7.94,$-6.15,0.0
2012-09-30,7.43,$-1.22,0.0
2012-06-30,7.03,$-2.12,0.0
2012-03-31,6.78,$0.60,11.21
2011-12-31,6.61,$0.05,134.09
2011-09-30,5.86,$-0.60,0.0
2011-06-30,7.0,$-0.16,0.0
2011-03-31,6.61,$-1.16,0.0
2010-12-31,6.69,$0.77,8.7
