Sonim Technologies Price to Free Cash Flow Ratio Historical Data,Sonim Technologies Price to Free Cash Flow Ratio Historical Data,Sonim Technologies Price to Free Cash Flow Ratio Historical Data,Sonim Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.19,,0.0
2024-09-30,2.9,$-1.00,0.0
2024-06-30,10.0,$-0.99,0.0
2024-03-31,6.1,$-0.00,0.0
2023-12-31,7.35,$-0.98,0.0
2023-09-30,6.7,$-2.31,0.0
2023-06-30,11.5,$-5.13,0.0
2023-03-31,10.1,$-4.99,0.0
2022-12-31,4.25,$-4.28,0.0
2022-09-30,5.0,$-18.49,0.0
2022-06-30,5.47,$-17.75,0.0
2022-03-31,8.56,$-28.66,0.0
2021-12-31,9.22,$-40.70,0.0
2021-09-30,27.0,$-46.51,0.0
2021-06-30,55.8,$-63.04,0.0
2021-03-31,81.99,$-39.56,0.0
2020-12-31,72.4,$-22.88,0.0
2020-09-30,77.6,$-41.20,0.0
2020-06-30,80.09,$24.48,3.27
2020-03-31,70.0,$-183.16,0.0
