MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data,MSCI Inc Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,565.99,,32.23
2024-12-31,600.01,$17.56,34.17
2024-09-30,581.36,$17.15,33.89
2024-06-30,479.09,$15.53,30.85
2024-03-31,555.57,$14.80,37.54
2023-12-31,559.17,$14.34,38.99
2023-09-30,505.82,$13.38,37.8
2023-06-30,461.49,$13.75,33.56
2023-03-31,548.77,$12.82,42.8
2022-12-31,454.96,$12.59,36.14
2022-09-30,411.43,$12.08,34.07
2022-06-30,401.02,$10.67,37.59
2022-03-31,488.0,$10.83,45.07
2021-12-31,593.39,$10.50,56.5
2021-09-30,588.23,$10.01,58.75
2021-06-30,514.6,$9.84,52.3
2021-03-31,404.06,$10.26,39.39
2020-12-31,429.56,$8.99,47.76
2020-09-30,342.53,$9.04,37.9
2020-06-30,319.8,$8.84,36.16
2020-03-31,276.27,$7.93,34.85
2019-12-31,246.32,$7.67,32.13
2019-09-30,207.19,$6.79,30.49
2019-06-30,226.51,$6.21,36.5
2019-03-31,188.13,$6.32,29.75
2018-12-31,139.03,$6.29,22.12
2018-09-30,166.66,$5.86,28.46
2018-06-30,154.89,$5.40,28.69
2018-03-31,139.61,$4.46,31.3
2017-12-31,117.89,$3.87,30.49
2017-09-30,108.58,$3.82,28.39
2017-06-30,95.34,$4.29,22.25
2017-03-31,89.71,$4.13,21.75
2016-12-31,72.5,$4.14,17.51
2016-09-30,76.99,$3.55,21.68
2016-06-30,70.5,$3.24,21.73
2016-03-31,67.53,$2.26,29.9
2015-12-31,65.55,$2.48,26.47
2015-09-30,53.86,$2.60,20.74
2015-06-30,55.56,$2.21,25.12
2015-03-31,55.18,$2.59,21.33
2014-12-31,42.56,$2.18,19.49
2014-09-30,42.01,$1.97,21.35
2014-06-30,40.97,$1.69,24.21
2014-03-31,38.44,$1.88,20.48
2013-12-31,39.06,$2.29,17.03
2013-09-30,35.97,$2.12,16.96
2013-06-30,29.73,$2.29,12.98
2013-03-31,30.32,$2.47,12.27
2012-12-31,27.69,$2.46,11.28
2012-09-30,31.98,$2.63,12.18
2012-06-30,30.4,$2.67,11.36
2012-03-31,32.89,$2.67,12.32
2011-12-31,29.42,$1.90,15.52
2011-09-30,27.1,$1.63,16.6
2011-06-30,33.67,$-0.01,0.0
2011-03-31,32.9,$-0.38,0.0
2010-12-31,34.81,$0.51,68.19
2010-11-30,30.43,$0.00,0.0
2010-08-31,26.72,$-0.14,0.0
2010-05-31,26.49,$-0.12,0.0
2010-02-28,26.79,$-0.33,0.0
2009-11-30,27.22,$0.00,0.0
