Nocera Price to Free Cash Flow Ratio Historical Data,Nocera Price to Free Cash Flow Ratio Historical Data,Nocera Price to Free Cash Flow Ratio Historical Data,Nocera Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.94,,0.0
2024-09-30,1.16,$-0.06,0.0
2024-06-30,1.1,$-0.07,0.0
2024-03-31,1.28,$-0.10,0.0
2023-12-31,1.32,$-0.22,0.0
2023-09-30,1.53,$-0.25,0.0
2023-06-30,2.5,$-0.40,0.0
