Power Integrations Price to Free Cash Flow Ratio Historical Data,Power Integrations Price to Free Cash Flow Ratio Historical Data,Power Integrations Price to Free Cash Flow Ratio Historical Data,Power Integrations Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,55.59,,49.7
2024-12-31,61.7,$1.12,55.17
2024-09-30,63.92,$1.09,58.48
2024-06-30,69.76,$0.95,73.56
2024-03-31,70.92,$0.76,92.82
2023-12-31,81.16,$0.78,104.21
2023-09-30,75.23,$0.88,85.53
2023-06-30,93.12,$1.34,69.44
2023-03-31,83.08,$2.24,37.11
2022-12-31,70.23,$3.04,23.12
2022-09-30,62.84,$3.25,19.35
2022-06-30,73.1,$3.23,22.6
2022-03-31,90.13,$3.24,27.84
2021-12-31,90.16,$2.99,30.18
2021-09-30,95.94,$2.69,35.6
2021-06-30,79.44,$1.95,40.81
2021-03-31,78.75,$1.44,54.83
2020-12-31,79.0,$0.92,86.31
2020-09-30,53.38,$3.61,14.78
2020-06-30,56.8,$3.84,14.77
2020-03-31,42.39,$3.65,11.63
2019-12-31,47.36,$3.36,14.09
2019-09-30,43.22,$0.68,63.83
2019-06-30,38.24,$0.66,58.02
2019-03-31,33.27,$0.79,42.03
2018-12-31,28.94,$0.98,29.44
2018-09-30,30.0,$1.18,25.48
2018-06-30,34.6,$1.22,28.31
2018-03-31,32.3,$0.97,33.31
2017-12-31,34.68,$0.81,42.76
2017-09-30,34.45,$0.81,42.65
2017-06-30,34.24,$0.90,37.99
2017-03-31,30.82,$1.13,27.32
2016-12-31,31.74,$1.45,21.94
2016-09-30,29.43,$1.39,21.15
2016-06-30,23.32,$1.22,19.07
2016-03-31,23.07,$1.26,18.33
2015-12-31,22.53,$1.19,18.99
2015-09-30,19.49,$0.95,20.5
2015-06-30,20.82,$1.12,18.66
2015-03-31,23.94,$1.06,22.51
2014-12-31,23.73,$1.01,23.42
2014-09-30,24.67,$1.25,19.66
2014-06-30,26.27,$1.25,21.05
2014-03-31,29.98,$1.29,23.31
2013-12-31,25.4,$1.39,18.23
2013-09-30,24.6,$1.36,18.08
2013-06-30,18.4,$0.58,31.77
2013-03-31,19.65,$0.68,29.09
2012-12-31,15.19,$0.62,24.52
2012-09-30,13.74,$0.34,40.79
2012-06-30,16.8,$1.01,16.59
2012-03-31,16.7,$1.07,15.61
2011-12-31,14.9,$0.80,18.52
2011-09-30,13.73,$0.52,26.37
2011-06-30,17.22,$0.35,49.39
2011-03-31,17.15,$0.27,64.27
2010-12-31,17.94,$0.52,34.41
2010-09-30,14.19,$0.82,17.22
2010-06-30,14.34,$0.93,15.38
2010-03-31,18.33,$0.77,23.86
2009-12-31,16.15,$0.54,29.85
