MAIA Biotechnology Price to Free Cash Flow Ratio Historical Data,MAIA Biotechnology Price to Free Cash Flow Ratio Historical Data,MAIA Biotechnology Price to Free Cash Flow Ratio Historical Data,MAIA Biotechnology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.76,,0.0
2024-09-30,2.81,$-0.82,0.0
2024-06-30,3.42,$-0.90,0.0
2024-03-31,2.2,$-0.88,0.0
2023-12-31,1.17,$-0.99,0.0
2023-09-30,2.2,$-1.07,0.0
2023-06-30,2.2,$-1.76,0.0
