Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data,Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data,Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data,Westamerica Bancorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,51.39,,9.44
2024-12-31,52.46,$5.44,9.64
2024-09-30,48.99,$3.83,12.8
2024-06-30,47.68,$4.51,10.57
2024-03-31,47.6,$5.80,8.2
2023-12-31,54.41,$5.88,9.25
2023-09-30,41.35,$7.76,5.33
2023-06-30,36.29,$6.66,5.45
2023-03-31,41.53,$5.05,8.22
2022-12-31,54.91,$4.20,13.09
2022-09-30,48.33,$3.29,14.71
2022-06-30,51.08,$3.15,16.23
2022-03-31,55.12,$3.23,17.05
2021-12-31,52.22,$3.25,16.05
2021-09-30,50.51,$3.15,16.01
2021-06-30,51.72,$3.32,15.56
2021-03-31,55.6,$3.31,16.78
2020-12-31,48.62,$4.06,11.99
2020-09-30,47.42,$4.06,11.68
2020-06-30,49.76,$3.83,12.98
2020-03-31,50.6,$3.94,12.86
2019-12-31,57.97,$2.85,20.33
2019-09-30,52.86,$2.92,18.12
2019-06-30,52.03,$3.14,16.55
2019-03-31,52.19,$3.43,15.23
2018-12-31,46.72,$3.51,13.31
2018-09-30,50.15,$3.46,14.5
2018-06-30,46.8,$3.24,14.42
2018-03-31,47.76,$2.95,16.17
2017-12-31,48.63,$2.95,16.46
2017-09-30,48.29,$3.09,15.63
2017-06-30,45.12,$2.85,15.81
2017-03-31,44.63,$3.19,13.99
2016-12-31,49.95,$2.95,16.92
2016-09-30,40.07,$2.73,14.67
2016-06-30,38.47,$2.88,13.35
2016-03-31,37.72,$2.63,14.33
2015-12-31,35.88,$2.58,13.92
2015-09-30,33.82,$2.95,11.46
2015-06-30,38.25,$2.61,14.63
2015-03-31,32.35,$2.39,13.56
2014-12-31,36.36,$3.00,12.12
2014-09-30,34.24,$2.43,14.08
2014-06-30,38.18,$3.01,12.7
2014-03-31,39.2,$3.57,10.98
2013-12-31,40.61,$3.11,13.05
2013-09-30,35.52,$3.85,9.22
2013-06-30,32.38,$4.27,7.57
2013-03-31,31.85,$3.84,8.29
2012-12-31,29.67,$4.14,7.17
2012-09-30,32.51,$4.21,7.72
2012-06-30,32.34,$3.60,8.98
2012-03-31,32.63,$3.99,8.17
2011-12-31,29.61,$4.10,7.23
2011-09-30,25.63,$3.81,6.73
2011-06-30,32.68,$4.72,6.93
2011-03-31,33.84,$3.71,9.12
2010-12-31,36.29,$3.87,9.37
2010-09-30,35.39,$3.37,10.51
2010-06-30,33.89,$2.61,12.99
2010-03-31,36.98,$3.69,10.01
2009-12-31,35.27,$4.60,7.67
