American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data,American Electric Power Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,106.21,,0.0
2024-12-31,92.23,$-0.87,0.0
2024-09-30,101.62,$-0.01,0.0
2024-06-30,86.12,$1.45,59.44
2024-03-31,83.7,$0.09,971.05
2023-12-31,78.06,$-1.97,0.0
2023-09-30,71.48,$-4.11,0.0
2023-06-30,79.19,$-6.59,0.0
2023-03-31,84.81,$-4.80,0.0
2022-12-31,87.68,$-2.27,0.0
2022-09-30,79.08,$-0.82,0.0
2022-06-30,87.09,$0.18,490.07
2022-03-31,89.86,$-0.28,0.0
2021-12-31,79.44,$-3.39,0.0
2021-09-30,71.81,$-3.34,0.0
2021-06-30,74.21,$-5.15,0.0
2021-03-31,73.68,$-5.57,0.0
2020-12-31,71.77,$-4.71,0.0
2020-09-30,69.87,$-5.16,0.0
2020-06-30,67.54,$-4.22,0.0
2020-03-31,67.23,$-4.44,0.0
2019-12-31,78.89,$-3.60,0.0
2019-09-30,77.6,$-2.66,0.0
2019-06-30,72.35,$-2.13,0.0
2019-03-31,68.3,$-1.50,0.0
2018-12-31,60.44,$-2.20,0.0
2018-09-30,56.81,$-3.08,0.0
2018-06-30,55.02,$-3.74,0.0
2018-03-31,53.99,$-3.99,0.0
2017-12-31,57.35,$1.50,38.24
2017-09-30,54.31,$2.24,24.27
2017-06-30,53.27,$3.17,16.83
2017-03-31,51.03,$3.33,15.34
2016-12-31,47.43,$-0.75,0.0
2016-09-30,47.92,$-0.73,0.0
2016-06-30,51.88,$-0.69,0.0
2016-03-31,48.72,$-0.71,0.0
2015-12-31,42.38,$0.48,88.32
2015-09-30,40.93,$0.53,76.89
2015-06-30,37.77,$0.32,118.55
2015-03-31,39.73,$0.83,48.0
2014-12-31,42.5,$0.83,50.98
2014-09-30,36.21,$1.34,27.09
2014-06-30,38.29,$1.70,22.47
2014-03-31,34.46,$1.48,23.33
2013-12-31,31.47,$0.92,34.22
2013-09-30,28.88,$1.11,25.94
2013-06-30,29.51,$0.67,43.74
2013-03-31,31.74,$1.15,27.68
2012-12-31,27.56,$1.45,19.02
2012-09-30,28.06,$0.73,38.38
2012-06-30,25.2,$1.62,15.58
2012-03-31,24.07,$1.91,12.58
2011-12-31,25.47,$2.53,10.05
2011-09-30,23.17,$3.58,6.47
2011-06-30,22.65,$2.99,7.57
2011-03-31,20.86,$2.45,8.53
2010-12-31,21.09,$0.73,28.98
2010-09-30,20.97,$0.27,76.32
2010-06-30,18.48,$-0.14,0.0
2010-03-31,19.31,$-0.29,0.0
2009-12-31,19.41,$-0.31,0.0
