FOXO Technologies Price to Free Cash Flow Ratio Historical Data,FOXO Technologies Price to Free Cash Flow Ratio Historical Data,FOXO Technologies Price to Free Cash Flow Ratio Historical Data,FOXO Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.16,,0.0
2024-09-30,0.19,$-0.39,0.0
2024-06-30,0.27,$0.33,0.81
2024-03-31,0.41,$0.07,6.01
2023-12-31,0.32,$-1.58,0.0
2023-09-30,0.11,$9.29,0.01
2023-06-30,0.31,$0.39,0.81
2023-03-31,0.42,$-10.10,0.0
2022-12-31,0.38,$-21.05,0.0
2022-09-30,1.28,$-37.39,0.0
2022-06-30,10.02,$-48.98,0.0
2022-03-31,9.93,$-38.35,0.0
2021-12-31,9.91,$-26.18,0.0
