TELA Bio Price to Free Cash Flow Ratio Historical Data,TELA Bio Price to Free Cash Flow Ratio Historical Data,TELA Bio Price to Free Cash Flow Ratio Historical Data,TELA Bio Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.34,,0.0
2024-09-30,2.53,$-1.99,0.0
2024-06-30,4.7,$-1.86,0.0
2024-03-31,5.67,$-1.80,0.0
2023-12-31,6.62,$-1.81,0.0
2023-09-30,8.0,$-1.97,0.0
2023-06-30,10.13,$-2.00,0.0
2023-03-31,10.64,$-2.43,0.0
2022-12-31,11.5,$-2.56,0.0
2022-09-30,8.52,$-2.51,0.0
2022-06-30,7.01,$-2.72,0.0
2022-03-31,11.63,$-2.29,0.0
2021-12-31,12.8,$-2.15,0.0
2021-09-30,13.66,$-2.15,0.0
2021-06-30,16.11,$-1.69,0.0
2021-03-31,14.9,$-1.85,0.0
2020-12-31,15.04,$-1.90,0.0
2020-09-30,16.54,$-15.78,0.0
