CLPS Incorporation Price to Free Cash Flow Ratio Historical Data,CLPS Incorporation Price to Free Cash Flow Ratio Historical Data,CLPS Incorporation Price to Free Cash Flow Ratio Historical Data,CLPS Incorporation Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.16,,inf
2024-06-30,0.8,0.0,0.0
2023-12-31,0.95,0.0,0.0
2023-06-30,0.99,0.0,0.0
2022-12-31,0.94,0.0,0.0
2022-06-30,1.24,0.0,0.0
2021-12-31,1.58,0.0,0.0
2021-06-30,3.47,0.0,0.0
2020-12-31,2.45,0.0,0.0
2020-06-30,1.74,0.0,0.0
2019-12-31,4.03,0.0,0.0
