Hanover Bancorp Price to Free Cash Flow Ratio Historical Data,Hanover Bancorp Price to Free Cash Flow Ratio Historical Data,Hanover Bancorp Price to Free Cash Flow Ratio Historical Data,Hanover Bancorp Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,22.63,,35.3
2024-12-31,23.06,$0.64,35.97
2024-09-30,17.89,$-0.74,0.0
2024-06-30,16.5,$-0.94,0.0
2024-03-31,14.82,$0.43,34.23
2023-12-31,17.64,0,0.0
2023-09-30,18.09,$1.82,9.93
2023-06-30,17.67,$-0.82,0.0
2023-03-31,18.0,$0.76,23.62
