Codexis Price to Free Cash Flow Ratio Historical Data,Codexis Price to Free Cash Flow Ratio Historical Data,Codexis Price to Free Cash Flow Ratio Historical Data,Codexis Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.55,,0.0
2024-12-31,4.77,$-0.73,0.0
2024-09-30,3.08,$-0.65,0.0
2024-06-30,3.1,$-0.70,0.0
2024-03-31,3.49,$-0.78,0.0
2023-12-31,3.05,$-0.83,0.0
2023-09-30,1.89,$-0.59,0.0
2023-06-30,2.8,$-0.08,0.0
2023-03-31,4.14,$0.12,35.17
2022-12-31,4.66,$0.05,101.3
2022-09-30,6.06,$-0.12,0.0
2022-06-30,10.46,$-0.45,0.0
2022-03-31,20.62,$-0.54,0.0
2021-12-31,31.27,$-0.43,0.0
2021-09-30,23.26,$-0.39,0.0
2021-06-30,22.66,$-0.42,0.0
2021-03-31,22.89,$-0.44,0.0
2020-12-31,21.83,$-0.34,0.0
2020-09-30,11.74,$-0.38,0.0
2020-06-30,11.4,$-0.34,0.0
2020-03-31,11.16,$-0.26,0.0
2019-12-31,15.99,$-0.29,0.0
2019-09-30,13.72,$-0.23,0.0
2019-06-30,18.43,$-0.23,0.0
2019-03-31,20.53,$-0.30,0.0
2018-12-31,16.7,$-0.32,0.0
2018-09-30,17.15,$-0.14,0.0
2018-06-30,14.4,$-0.21,0.0
2018-03-31,11.0,$-0.21,0.0
2017-12-31,8.35,$-0.21,0.0
2017-09-30,6.65,$-0.24,0.0
2017-06-30,5.45,$-0.32,0.0
2017-03-31,4.8,$-0.16,0.0
2016-12-31,4.6,$-0.07,0.0
2016-09-30,4.44,$-0.03,0.0
2016-06-30,4.03,$0.16,24.97
2016-03-31,3.11,$0.06,52.71
2015-12-31,4.23,$-0.04,0.0
2015-09-30,3.39,$-0.06,0.0
2015-06-30,3.89,$-0.04,0.0
2015-03-31,4.56,$-0.04,0.0
2014-12-31,2.52,$0.00,0.0
2014-09-30,2.33,$-0.24,0.0
2014-06-30,1.46,$-0.50,0.0
2014-03-31,2.04,$-0.59,0.0
2013-12-31,1.4,$-0.63,0.0
2013-09-30,1.76,$-0.65,0.0
2013-06-30,2.21,$-0.54,0.0
2013-03-31,2.39,$-0.45,0.0
2012-12-31,2.21,$-0.40,0.0
2012-09-30,3.03,$-0.43,0.0
2012-06-30,3.71,$-0.35,0.0
2012-03-31,3.65,$-0.54,0.0
2011-12-31,5.3,$-0.31,0.0
2011-09-30,4.57,$-0.49,0.0
2011-06-30,9.63,$-0.25,0.0
2011-03-31,11.82,$-0.77,0.0
