Blue Ridge Bankshares Price to Free Cash Flow Ratio Historical Data,Blue Ridge Bankshares Price to Free Cash Flow Ratio Historical Data,Blue Ridge Bankshares Price to Free Cash Flow Ratio Historical Data,Blue Ridge Bankshares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.33,,0.0
2024-12-31,3.22,$-0.14,0.0
2024-09-30,2.8,$1.20,2.33
2024-06-30,2.61,$0.60,4.38
2024-03-31,2.69,$1.42,1.89
2023-12-31,3.03,$2.33,1.3
2023-09-30,4.52,$-0.28,0.0
2023-06-30,8.85,$0.35,25.39
2023-03-31,10.2,$0.54,18.91
2022-12-31,12.49,$5.08,2.46
2022-09-30,12.59,$9.21,1.37
2022-06-30,15.18,$9.24,1.64
