First Citizens BancShares Price to Free Cash Flow Ratio Historical Data,First Citizens BancShares Price to Free Cash Flow Ratio Historical Data,First Citizens BancShares Price to Free Cash Flow Ratio Historical Data,First Citizens BancShares Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1842.96,,10.25
2024-12-31,2113.02,$179.74,11.76
2024-09-30,1839.39,$158.12,11.63
2024-06-30,1680.82,$174.16,9.65
2024-03-31,1630.72,$209.85,7.77
2023-12-31,1413.77,$156.40,9.04
2023-09-30,1373.49,$173.37,7.92
2023-06-30,1276.6,$126.97,10.05
2023-03-31,967.33,$109.41,8.84
2022-12-31,753.1,$173.44,4.34
2022-09-30,791.16,$119.03,6.65
2022-06-30,648.27,$101.42,6.39
2022-03-31,659.54,$-10.65,0.0
2021-12-31,821.79,$-35.55,0.0
2021-09-30,834.52,$-32.98,0.0
2021-06-30,823.71,$-38.16,0.0
2021-03-31,826.25,$38.84,21.27
2020-12-31,567.42,$27.05,20.98
2020-09-30,314.73,$27.62,11.4
2020-06-30,399.43,$32.39,12.33
2020-03-31,327.95,$32.25,10.17
2019-12-31,523.74,$43.37,12.08
2019-09-30,463.7,$36.42,12.73
2019-06-30,442.4,$4.75,93.07
2019-03-31,399.72,$2.62,152.62
2018-12-31,369.77,$28.75,12.86
2018-09-30,443.08,$25.07,17.67
2018-06-30,394.81,$51.04,7.73
2018-03-31,404.21,$51.94,7.78
2017-12-31,393.88,$26.16,15.05
2017-09-30,365.12,$22.89,15.95
2017-06-30,363.64,$23.34,15.58
2017-03-31,326.94,$20.57,15.89
2016-12-31,345.78,$15.29,22.62
2016-09-30,286.03,$17.11,16.72
2016-06-30,251.71,$17.70,14.22
2016-03-31,243.79,$18.46,13.21
2015-12-31,250.39,$18.67,13.41
2015-09-30,218.92,$29.64,7.39
2015-06-30,254.47,$16.80,15.15
2015-03-31,250.93,$18.66,13.45
2014-12-31,243.97,$18.49,13.19
2014-09-30,208.83,$12.94,16.14
2014-06-30,235.87,$31.73,7.43
2014-03-31,231.51,$38.29,6.05
2013-12-31,213.81,$42.89,4.99
2013-09-30,197.18,$35.93,5.49
2013-06-30,183.92,$26.46,6.95
2013-03-31,174.7,$27.92,6.26
2012-12-31,156.08,$25.41,6.14
2012-09-30,155.11,$30.16,5.14
2012-06-30,158.4,$13.93,11.37
2012-03-31,173.33,$13.03,13.3
2011-12-31,165.75,$38.03,4.36
2011-09-30,135.72,$26.25,5.17
2011-06-30,176.68,$39.54,4.47
2011-03-31,188.98,$34.99,5.4
2010-12-31,177.85,$16.15,11.01
2010-09-30,174.01,$23.54,7.39
2010-06-30,180.35,$27.11,6.65
2010-03-31,186.1,$27.21,6.84
2009-12-31,153.34,$7.95,19.28
