Allurion Technologies Price to Free Cash Flow Ratio Historical Data,Allurion Technologies Price to Free Cash Flow Ratio Historical Data,Allurion Technologies Price to Free Cash Flow Ratio Historical Data,Allurion Technologies Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.28,,0.0
2024-09-30,0.61,$-30.17,0.0
2024-06-30,1.0,$-36.68,0.0
2024-03-31,1.75,$-40.75,0.0
2023-12-31,3.74,$-46.08,0.0
2023-09-30,4.3,$-42.51,0.0
2023-06-30,10.67,$11.00,0.97
2023-03-31,10.24,$-54.20,0.0
2022-12-31,10.1,$-45.07,0.0
2022-09-30,9.87,$-30.17,0.0
2022-06-30,9.81,$-75.18,0.0
2022-03-31,9.78,$-1.10,0.0
2021-12-31,9.73,$-2.41,0.0
