Brasilagro Cia Brasileira De Propriedades Agricolas Price to Free Cash Flow Ratio Historical Data,Brasilagro Cia Brasileira De Propriedades Agricolas Price to Free Cash Flow Ratio Historical Data,Brasilagro Cia Brasileira De Propriedades Agricolas Price to Free Cash Flow Ratio Historical Data,Brasilagro Cia Brasileira De Propriedades Agricolas Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,3.84,,404.21
2024-12-31,3.61,$0.01,0.0
2024-09-30,4.4,$0.21,20.81
2024-03-31,4.67,$0.16,29.28
2023-09-30,4.72,$0.13,36.52
2023-06-30,4.3,$0.19,23.24
2023-03-31,4.0,$0.23,17.57
2022-12-31,4.73,$0.01,425.77
2022-09-30,4.2,$-0.01,0.0
2022-06-30,3.55,$0.30,12.0
2022-03-31,4.78,$0.43,11.06
2021-12-31,3.82,$0.42,9.11
2021-09-30,3.61,$0.38,9.43
2021-06-30,3.93,$0.40,9.82
2021-03-31,2.66,$0.07,37.26
2020-12-31,3.24,$0.19,17.36
2020-09-30,2.51,$0.33,7.5
2020-06-30,2.32,$0.17,13.47
2020-03-31,1.94,$0.17,11.66
2019-12-31,2.99,$0.35,8.47
2019-09-30,2.44,$0.30,8.05
2019-06-30,2.47,$0.04,67.32
2019-03-31,2.27,$-0.06,0.0
2018-12-31,2.39,$-0.03,0.0
2018-09-30,1.87,$-0.25,0.0
2018-06-30,1.95,$-0.22,0.0
2018-03-31,2.14,$0.54,3.98
2017-12-31,1.97,$0.04,52.23
2017-09-30,2.3,$0.21,11.07
2017-06-30,2.08,$0.25,8.49
2017-03-31,2.06,$-0.74,0.0
2016-12-31,1.79,$-0.03,0.0
