Roadzen Price to Free Cash Flow Ratio Historical Data,Roadzen Price to Free Cash Flow Ratio Historical Data,Roadzen Price to Free Cash Flow Ratio Historical Data,Roadzen Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.12,,0.0
2024-12-31,2.18,$-0.35,0.0
2024-09-30,1.19,$0.16,7.4
2024-06-30,2.22,$4.04,0.55
2024-03-31,6.5,$-0.36,0.0
2023-12-31,5.09,$0.22,22.83
2023-09-30,4.17,$-0.36,0.0
2023-06-30,10.63,$-4.48,0.0
