SAB Biotherapeutics Price to Free Cash Flow Ratio Historical Data,SAB Biotherapeutics Price to Free Cash Flow Ratio Historical Data,SAB Biotherapeutics Price to Free Cash Flow Ratio Historical Data,SAB Biotherapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.59,,0.0
2024-09-30,2.7,$-5.04,0.0
2024-06-30,3.1,$-5.29,0.0
2024-03-31,4.54,$-5.43,0.0
2023-12-31,0.69,$-4.58,0.0
2023-09-30,0.63,$-2.56,0.0
2023-06-30,0.83,$-3.48,0.0
2023-03-31,0.44,$-3.83,0.0
2022-12-31,0.59,$-5.87,0.0
2022-09-30,0.7,$-8.82,0.0
