Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data,Arista Networks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,82.97,,28.91
2024-12-31,110.53,$2.87,38.52
2024-09-30,95.96,$2.49,38.61
2024-06-30,87.62,$2.12,41.41
2024-03-31,72.5,$1.68,43.2
2023-12-31,58.88,$1.58,37.35
2023-09-30,45.98,$1.19,38.78
2023-06-30,40.52,$0.75,54.27
2023-03-31,41.97,$0.49,85.98
2022-12-31,30.34,$0.35,85.67
2022-09-30,28.22,$0.50,56.19
2022-06-30,23.44,$0.58,40.5
2022-03-31,34.75,$0.71,49.14
2021-12-31,35.94,$0.74,48.25
2021-09-30,21.48,$0.72,30.03
2021-06-30,22.64,$0.71,32.06
2021-03-31,18.87,$0.61,30.83
2020-12-31,18.16,$0.57,32.08
2020-09-30,12.93,$0.68,19.13
2020-06-30,13.13,$0.72,18.35
2020-03-31,12.66,$0.76,16.77
2019-12-31,12.71,$0.73,17.37
2019-09-30,14.93,$0.71,21.15
2019-06-30,16.23,$0.38,42.38
2019-03-31,19.65,$0.35,56.01
2018-12-31,13.17,$0.37,35.54
2018-09-30,16.62,$0.29,57.16
2018-06-30,16.09,$0.57,28.44
2018-03-31,15.96,$0.51,31.49
2017-12-31,14.72,$0.49,30.18
2017-09-30,11.85,$0.40,29.97
2017-06-30,9.36,$0.20,45.85
2017-03-31,8.27,$0.20,41.58
2016-12-31,6.05,$0.13,46.35
2016-09-30,5.32,$0.21,25.54
2016-06-30,4.02,$0.24,16.44
2016-03-31,3.94,$0.24,16.7
2015-12-31,4.87,$0.19,25.52
2015-09-30,3.82,$0.12,32.41
2015-06-30,5.11,$0.11,44.77
2015-03-31,4.41,$0.15,29.45
