Imunon Price to Free Cash Flow Ratio Historical Data,Imunon Price to Free Cash Flow Ratio Historical Data,Imunon Price to Free Cash Flow Ratio Historical Data,Imunon Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.95,,0.0
2024-12-31,0.95,$-1.64,0.0
2024-09-30,1.06,$-1.48,0.0
2024-06-30,1.16,$-2.06,0.0
2024-03-31,1.64,$-2.29,0.0
2023-12-31,0.68,$-2.15,0.0
2023-09-30,0.98,$-2.37,0.0
2023-06-30,1.29,$-2.52,0.0
2023-03-31,1.24,$-2.37,0.0
2022-12-31,1.35,$-3.27,0.0
2022-09-30,1.68,$-3.65,0.0
2022-06-30,1.84,$-3.67,0.0
2022-03-31,5.06,$-1.61,0.0
2021-12-31,8.1,$-3.05,0.0
2021-09-30,13.87,$-4.09,0.0
2021-06-30,19.05,$-4.68,0.0
2021-03-31,20.7,$-7.27,0.0
2020-12-31,10.67,$-7.34,0.0
2020-09-30,10.98,$-9.02,0.0
2020-06-30,55.8,$-10.55,0.0
2020-03-31,13.56,$-12.59,0.0
2019-12-31,25.65,$-14.15,0.0
2019-09-30,23.1,$-5.36,0.0
2019-06-30,27.3,$-6.15,0.0
2019-03-31,29.4,$-6.61,0.0
2018-12-31,21.15,$-6.12,0.0
2018-09-30,41.55,$-20.73,0.0
2018-06-30,44.25,$-23.73,0.0
2018-03-31,33.6,$-8.49,0.0
2017-12-31,40.2,$-32.79,0.0
2017-09-30,22.5,$-68.76,0.0
2017-06-30,30.75,$-87.11,0.0
2017-03-31,60.69,$-134.61,0.0
2016-12-31,63.82,$-149.13,0.0
2016-09-30,256.2,$-149.72,0.0
2016-06-30,266.7,$-163.40,0.0
2016-03-31,306.6,$-181.55,0.0
2015-12-31,403.2,$-201.57,0.0
2015-09-30,350.7,$-223.18,0.0
2015-06-30,493.5,$-257.85,0.0
2015-03-31,560.7,$-251.32,0.0
2014-12-31,489.3,$-250.37,0.0
2014-09-30,621.6,$-236.77,0.0
2014-06-30,728.7,$-204.67,0.0
2014-03-31,707.7,$-249.80,0.0
2013-12-31,816.9,$-148.60,0.0
2013-09-30,1086.75,$-247.77,0.0
2013-06-30,963.9,$-350.57,0.0
2013-03-31,992.25,$-410.66,0.0
2012-12-31,7739.55,$-618.11,0.0
2012-09-30,5140.8,$-800.13,0.0
2012-06-30,2901.15,$-687.54,0.0
2012-03-31,1795.5,$-896.38,0.0
2011-12-31,1606.5,"$-1,035.45",0.0
2011-09-30,2362.5,$-909.63,0.0
2011-06-30,3184.65,"$-2,259.06",0.0
2011-03-31,2182.95,"$-1,093.36",0.0
2010-12-31,1937.25,"$-1,021.30",0.0
2010-09-30,2872.8,"$-1,149.77",0.0
2010-06-30,2986.2,$-235.71,0.0
2010-03-31,4082.4,$-44.49,0.0
2009-12-31,3090.15,$-94.59,0.0
