Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data,Micron Technology Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,103.0,,205.51
2024-11-30,97.95,$0.50,195.43
2024-08-31,96.13,$0.11,888.47
2024-05-31,124.75,$-1.26,0.0
2024-02-29,90.34,$-3.01,0.0
2023-11-30,75.79,$-4.57,0.0
2023-08-31,69.52,$-5.60,0.0
2023-05-31,67.67,$-4.34,0.0
2023-02-28,57.26,$-1.81,0.0
2022-11-30,56.96,$0.80,71.26
2022-08-31,55.73,$3.57,15.62
2022-05-31,72.65,$5.06,14.35
2022-02-28,87.31,$5.06,17.25
2021-11-30,82.44,$4.20,19.62
2021-08-31,72.23,$2.14,33.81
2021-05-31,82.47,$0.49,168.71
2021-02-28,89.71,$-0.58,0.0
2020-11-30,62.82,$-0.67,0.0
2020-08-31,44.6,$0.07,607.69
2020-05-31,46.96,$0.23,207.68
2020-02-29,51.51,$0.46,112.99
2019-11-30,46.56,$1.25,37.39
2019-08-31,44.37,$2.98,14.88
2019-05-31,31.96,$5.22,6.12
2019-02-28,40.07,$6.43,6.23
2018-11-30,37.79,$7.36,5.14
2018-08-31,51.48,$6.93,7.42
2018-05-31,56.44,$6.25,9.03
2018-02-28,47.84,$5.91,8.1
2017-11-30,41.55,$4.45,9.34
2017-08-31,31.33,$2.96,10.58
2017-05-31,30.16,$0.27,112.99
2017-02-28,22.97,$-2.14,0.0
2016-11-30,19.14,$-2.79,0.0
2016-08-31,16.16,$-2.56,0.0
2016-05-31,12.47,$-2.19,0.0
2016-02-29,10.42,$-0.41,0.0
2015-11-30,15.61,$0.36,43.14
2015-08-31,16.08,$1.01,15.85
2015-05-31,27.37,$1.66,16.47
2015-02-28,30.06,$1.89,15.91
2014-11-30,35.23,$2.24,15.76
2014-08-31,31.95,$2.16,14.77
2014-05-31,28.02,$2.37,11.83
2014-02-28,23.71,$2.02,11.74
2013-11-30,20.68,$1.25,16.61
2013-08-31,13.3,$0.35,38.1
2013-05-31,11.45,$0.19,60.09
2013-02-28,8.21,$0.20,41.77
2012-11-30,5.85,$0.51,11.4
2012-08-31,6.09,$0.42,14.53
2012-05-31,5.72,$-0.14,0.0
2012-02-29,8.38,$-0.44,0.0
2011-11-30,5.87,$-0.52,0.0
2011-08-31,5.79,$0.06,95.74
2011-05-31,10.0,$1.25,8.0
2011-02-28,10.91,$1.88,5.81
2010-11-30,7.12,$2.45,2.91
2010-08-31,6.33,$2.45,2.58
2010-05-31,8.91,$2.16,4.13
2010-02-28,8.88,$1.51,5.89
2009-11-30,7.37,$1.22,6.02
