Lifevantage Price to Free Cash Flow Ratio Historical Data,Lifevantage Price to Free Cash Flow Ratio Historical Data,Lifevantage Price to Free Cash Flow Ratio Historical Data,Lifevantage Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,16.28,,16.74
2024-12-31,17.53,$0.97,18.03
2024-09-30,12.05,$0.42,28.9
2024-06-30,6.37,$0.77,8.32
2024-03-31,5.97,$0.85,7.04
2023-12-31,5.9,$0.84,7.03
2023-09-30,6.3,$0.74,8.48
2023-06-30,3.99,$0.30,13.3
2023-03-31,3.27,$0.24,13.81
2022-12-31,3.36,$0.07,51.39
2022-09-30,3.36,$0.32,10.52
2022-06-30,3.87,$0.49,7.87
2022-03-31,4.2,$0.85,4.96
2021-12-31,5.58,$0.92,6.06
2021-09-30,5.98,$1.02,5.85
2021-06-30,6.49,$0.88,7.38
2021-03-31,8.25,$0.93,8.87
2020-12-31,8.23,$1.02,8.09
2020-09-30,10.66,$1.21,8.78
2020-06-30,11.94,$1.07,11.14
2020-03-31,9.09,$0.89,10.2
2019-12-31,13.78,$0.86,16.06
2019-09-30,12.1,$0.59,20.47
2019-06-30,11.46,$1.02,11.23
2019-03-31,12.62,$0.89,14.12
2018-12-31,11.64,$0.87,13.33
2018-09-30,9.7,$0.67,14.58
2018-06-30,5.62,$0.61,9.24
2018-03-31,3.19,$0.41,7.78
2017-12-31,4.2,$0.23,18.3
2017-09-30,3.73,$0.29,12.67
2017-06-30,3.82,$0.39,9.74
2017-03-31,4.74,$0.27,17.69
2016-12-31,7.2,$0.14,52.25
2016-09-30,8.35,$0.36,22.94
2016-06-30,12.01,$0.38,31.87
2016-03-31,8.03,$0.69,11.59
2015-12-31,8.4,$0.94,8.92
2015-09-30,5.01,$0.73,6.84
2015-06-30,3.28,$0.85,3.84
2015-03-31,4.88,$0.64,7.57
2014-12-31,8.03,$0.74,10.79
2014-09-30,7.05,$0.71,9.96
2014-06-30,8.9,$0.64,13.9
2014-03-31,8.1,$0.57,14.16
2013-12-31,10.2,$0.57,17.88
2013-09-30,14.71,$0.61,24.02
2013-06-30,14.34,$0.32,45.1
2013-03-31,14.52,$0.65,22.43
2012-12-31,13.53,$0.75,18.08
2012-09-30,21.2,$0.81,26.19
2012-06-30,17.49,$1.02,17.2
2012-03-31,23.24,$0.82,28.26
2011-12-31,8.84,$0.70,12.63
2011-09-30,9.27,$0.50,18.64
2011-06-30,9.27,$0.38,24.66
2011-03-31,4.39,$0.26,17.11
2010-12-31,2.41,$-0.04,0.0
2010-09-30,3.09,$-0.27,0.0
2010-06-30,3.15,$-0.52,0.0
2010-03-31,2.41,$-0.88,0.0
2009-12-31,1.55,$-1.19,0.0
