CNO Financial Price to Free Cash Flow Ratio Historical Data,CNO Financial Price to Free Cash Flow Ratio Historical Data,CNO Financial Price to Free Cash Flow Ratio Historical Data,CNO Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,41.22,,7.1
2024-12-31,37.21,$5.81,6.41
2024-09-30,34.95,$5.59,6.25
2024-06-30,27.47,$5.01,5.48
2024-03-31,27.07,$5.20,5.2
2023-12-31,27.33,$5.06,5.4
2023-09-30,23.11,$4.87,4.74
2023-06-30,22.91,$4.72,4.86
2023-03-31,21.34,$4.46,4.79
2022-12-31,21.84,$4.21,5.19
2022-09-30,17.07,$3.74,4.57
2022-06-30,17.06,$4.21,4.06
2022-03-31,23.49,$4.37,5.37
2021-12-31,22.2,$4.56,4.87
2021-09-30,21.8,$5.03,4.34
2021-06-30,21.75,$4.66,4.67
2021-03-31,22.25,$4.93,4.51
2020-12-31,20.27,$5.14,3.95
2020-09-30,14.55,$4.97,2.93
2020-06-30,14.02,$4.70,2.98
2020-03-31,11.08,$4.42,2.51
2019-12-31,16.09,$4.43,3.63
2019-09-30,13.96,$4.51,3.09
2019-06-30,14.6,$2.46,5.94
2019-03-31,14.07,$2.37,5.93
2018-12-31,12.86,$1.92,6.7
2018-09-30,18.12,$1.75,10.36
2018-06-30,16.19,$3.47,4.66
2018-03-31,18.33,$3.29,5.58
2017-12-31,20.8,$3.68,5.65
2017-09-30,19.59,$3.65,5.37
2017-06-30,17.45,$4.13,4.23
2017-03-31,17.06,$4.38,3.89
2016-12-31,15.87,$4.35,3.65
2016-09-30,12.6,$4.38,2.88
2016-06-30,14.34,$4.05,3.54
2016-03-31,14.66,$4.01,3.65
2015-12-31,15.55,$3.83,4.06
2015-09-30,15.27,$3.92,3.9
2015-06-30,14.84,$3.65,4.07
2015-03-31,13.87,$3.35,4.15
2014-12-31,13.82,$0.56,24.7
2014-09-30,13.57,$0.46,29.35
2014-06-30,14.19,$0.42,33.59
2014-03-31,14.38,$0.45,32.31
2013-12-31,14.01,$3.10,4.52
2013-09-30,11.38,$2.48,4.59
2013-06-30,10.22,$2.70,3.79
2013-03-31,9.01,$2.46,3.66
2012-12-31,7.33,$2.26,3.25
2012-09-30,7.56,$2.53,3.0
2012-06-30,6.1,$2.19,2.78
2012-03-31,6.07,$2.31,2.63
2011-12-31,4.92,$2.55,1.93
2011-09-30,4.22,$2.57,1.64
2011-06-30,6.17,$2.46,2.51
2011-03-31,5.86,$2.32,2.53
2010-12-31,5.29,$2.43,2.17
2010-09-30,4.32,$2.62,1.65
2010-06-30,3.86,$2.85,1.35
2010-03-31,4.85,$3.12,1.55
2009-12-31,3.9,$3.16,1.23
