Broadway Financial Price to Free Cash Flow Ratio Historical Data,Broadway Financial Price to Free Cash Flow Ratio Historical Data,Broadway Financial Price to Free Cash Flow Ratio Historical Data,Broadway Financial Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,7.63,,8.72
2024-09-30,6.44,$0.87,7.36
2024-06-30,5.14,$0.38,13.68
2024-03-31,5.51,$-0.97,0.0
2023-12-31,6.79,$0.84,8.03
2023-09-30,7.84,$0.61,12.91
2023-06-30,7.76,$1.00,7.75
2023-03-31,8.4,$1.29,6.52
2022-12-31,8.08,$0.66,12.26
2022-09-30,9.04,$-0.01,0.0
2022-06-30,8.48,$0.12,69.45
2022-03-31,12.72,$0.33,38.42
2021-12-31,18.48,$-0.07,0.0
2021-09-30,26.56,$8.15,3.26
2021-06-30,21.52,$10.01,2.15
2021-03-31,19.92,$9.02,2.21
2020-12-31,14.8,$-4.11,0.0
2020-09-30,13.44,$-11.83,0.0
2020-06-30,16.88,$-8.83,0.0
2020-03-31,10.48,$-11.03,0.0
2019-12-31,12.32,$2.78,4.44
2019-09-30,12.32,$6.46,1.91
2019-06-30,11.36,$-4.18,0.0
2019-03-31,11.2,$0.34,33.28
2018-12-31,8.4,$0.05,179.1
2018-09-30,11.28,$-3.98,0.0
2018-06-30,17.6,$9.53,1.85
2018-03-31,16.88,$7.08,2.39
2017-12-31,18.88,$-3.11,0.0
2017-09-30,18.56,$-2.55,0.0
2017-06-30,16.9,$-11.05,0.0
2017-03-31,14.48,$-10.04,0.0
2016-12-31,13.08,$0.21,61.79
2016-09-30,14.08,$6.37,2.21
2016-06-30,14.48,$8.00,1.81
2016-03-31,15.44,$7.18,2.15
2015-12-31,12.08,$3.87,3.12
2015-09-30,9.68,$-2.50,0.0
2015-06-30,11.2,$-3.99,0.0
2015-03-31,10.0,$-2.68,0.0
2014-12-31,10.48,$0.40,26.42
2014-09-30,12.8,$-1.24,0.0
2014-06-30,11.2,$-4.33,0.0
2014-03-31,8.96,$-3.96,0.0
2013-12-31,7.44,$1.29,5.78
2013-09-30,9.68,$1.93,5.01
2013-06-30,5.68,$9.30,0.61
2013-03-31,6.64,$28.26,0.23
2012-12-31,5.28,$31.69,0.17
2012-09-30,18.8,$-37.00,0.0
2012-06-30,10.4,$42.35,0.25
2012-03-31,10.96,$33.09,0.33
2011-12-31,12.48,$26.32,0.47
2011-09-30,12.0,$106.42,0.11
2011-06-30,17.84,$37.46,0.48
2011-03-31,18.8,$35.67,0.53
2010-12-31,19.44,$49.27,0.39
2010-09-30,19.28,$41.45,0.47
2010-06-30,16.0,$45.80,0.35
2010-03-31,48.62,$42.26,1.15
2009-12-31,47.35,$33.34,1.42
