Mesabi Trust Price to Free Cash Flow Ratio Historical Data,Mesabi Trust Price to Free Cash Flow Ratio Historical Data,Mesabi Trust Price to Free Cash Flow Ratio Historical Data,Mesabi Trust Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,28.01,,4.07
2024-10-31,24.12,$6.87,3.51
2024-07-31,17.3,$1.31,13.25
2024-04-30,15.55,$1.37,11.35
2024-01-31,18.55,$1.11,16.66
2023-10-31,19.09,$0.64,29.79
2023-07-31,18.04,$0.23,79.35
2023-04-30,21.29,$-0.01,0.0
2023-01-31,21.13,$1.06,19.99
2022-10-31,20.44,$2.66,7.68
2022-07-31,25.02,$4.11,6.09
2022-04-30,20.75,$5.38,3.86
2022-01-31,23.85,$4.79,4.98
2021-10-31,17.77,$4.12,4.31
2021-07-31,26.43,$3.11,8.5
2021-04-30,26.86,$2.00,13.45
2021-01-31,18.42,$1.59,11.61
2020-10-31,16.53,$1.38,12.0
2020-07-31,12.48,$1.86,6.72
2020-04-30,10.33,$2.45,4.21
2020-01-31,14.04,$2.64,5.32
2019-10-31,14.83,$2.88,5.15
2019-07-31,17.26,$3.35,5.15
2019-04-30,18.84,$3.44,5.47
2019-01-31,16.99,$3.47,4.9
2018-10-31,16.81,$3.00,5.6
2018-07-31,16.92,$2.81,6.03
2018-04-30,13.34,$2.45,5.44
2018-01-31,14.46,$2.25,6.43
2017-10-31,12.58,$2.52,4.98
2017-07-31,7.34,$1.47,4.98
2017-04-30,8.23,$0.91,9.03
2017-01-31,7.11,$0.96,7.42
2016-10-31,4.63,$0.40,11.69
2016-07-31,5.28,$0.49,10.82
2016-04-30,4.83,$0.64,7.51
2016-01-31,2.15,$0.63,3.43
2015-10-31,4.23,$1.10,3.84
2015-07-31,5.21,$1.77,2.94
2015-04-30,7.31,$1.87,3.9
2015-01-31,8.21,$1.85,4.44
2014-10-31,8.62,$1.78,4.85
2014-07-31,8.23,$1.41,5.83
2014-04-30,8.8,$1.56,5.63
2014-01-31,8.76,$1.62,5.4
2013-10-31,9.75,$1.55,6.3
2013-07-31,7.49,$2.14,3.5
2013-04-30,8.64,$2.35,3.68
2013-01-31,9.92,$2.34,4.24
2012-10-31,10.36,$3.73,2.78
2012-07-31,9.82,$2.62,3.75
2012-04-30,11.25,$2.54,4.43
2012-01-31,11.81,$2.52,4.68
2011-10-31,9.89,$1.27,7.76
2011-07-31,10.42,$2.18,4.77
2011-04-30,12.0,$2.35,5.11
2011-01-31,11.27,$2.31,4.87
2010-10-31,13.76,$2.30,5.99
2010-07-31,7.9,$1.62,4.89
2010-04-30,6.22,$0.91,6.8
2010-01-31,4.31,$1.30,3.33
2009-10-31,3.01,$3.18,0.95
