Invivyd Price to Free Cash Flow Ratio Historical Data,Invivyd Price to Free Cash Flow Ratio Historical Data,Invivyd Price to Free Cash Flow Ratio Historical Data,Invivyd Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.74,,0.0
2024-09-30,1.02,$-1.66,0.0
2024-06-30,1.1,$-1.63,0.0
2024-03-31,4.44,$-1.64,0.0
2023-12-31,3.94,$-1.59,0.0
2023-09-30,1.7,$-1.49,0.0
2023-06-30,1.05,$-1.69,0.0
2023-03-31,1.2,$-1.88,0.0
2022-12-31,1.5,$-2.05,0.0
2022-09-30,3.13,$-4.11,0.0
2022-06-30,3.28,$-5.41,0.0
