AlTi Global Price to Free Cash Flow Ratio Historical Data,AlTi Global Price to Free Cash Flow Ratio Historical Data,AlTi Global Price to Free Cash Flow Ratio Historical Data,AlTi Global Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.9,,0.0
2024-09-30,3.74,$-0.71,0.0
2024-06-30,5.21,$-1.41,0.0
2024-03-31,5.66,$-0.41,0.0
2023-12-31,8.76,$-1.34,0.0
2023-09-30,6.96,$505.05,0.01
2023-06-30,7.66,$721.75,0.01
2023-03-31,12.54,"$1,477.98",0.01
2022-12-31,10.91,$956.47,0.01
2022-09-30,9.91,"$3,164.85",0.0
2022-06-30,9.83,"$2,948.84",0.0
2022-03-31,9.87,"$2,192.06",0.0
