Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data,Cardinal Health Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,133.08,,0.0
2024-12-31,118.27,$-2.10,0.0
2024-09-30,110.02,$4.37,25.2
2024-06-30,97.37,$13.21,7.37
2024-03-31,110.82,$8.02,13.81
2023-12-31,99.38,$13.39,7.42
2023-09-30,84.68,$10.98,7.71
2023-06-30,92.24,$9.06,10.18
2023-03-31,73.25,$17.06,4.29
2022-12-31,74.1,$10.44,7.1
2022-09-30,63.86,$12.41,5.15
2022-06-30,49.69,$10.10,4.92
2022-03-31,53.4,$1.54,34.78
2021-12-31,48.07,$3.90,12.32
2021-09-30,45.74,$3.78,12.1
2021-06-30,52.28,$6.90,7.58
2021-03-31,55.16,$5.44,10.14
2020-12-31,48.24,$10.22,4.72
2020-09-30,41.91,$8.52,4.92
2020-06-30,46.11,$5.42,8.51
2020-03-31,41.96,$6.23,6.74
2019-12-31,43.84,$5.54,7.92
2019-09-30,40.51,$4.50,9.0
2019-06-30,40.03,$7.95,5.03
2019-03-31,40.51,$8.09,5.01
2018-12-31,37.15,$5.55,6.7
2018-09-30,44.98,$5.07,8.88
2018-06-30,40.32,$7.57,5.33
2018-03-31,51.26,$8.21,6.24
2017-12-31,49.74,$5.18,9.59
2017-09-30,53.92,$5.98,9.01
2017-06-30,62.35,$2.49,25.03
2017-03-31,64.87,$1.94,33.48
2016-12-31,56.93,$5.27,10.81
2016-09-30,61.09,$8.01,7.62
2016-06-30,60.98,$7.59,8.03
2016-03-31,63.69,$8.44,7.55
2015-12-31,69.05,$7.78,8.87
2015-09-30,59.17,$6.36,9.3
2015-06-30,64.1,$6.84,9.37
2015-03-31,68.86,$6.37,10.81
2014-12-31,61.35,$6.79,9.04
2014-09-30,56.7,$3.98,14.25
2014-06-30,51.65,$6.59,7.83
2014-03-31,52.46,$5.43,9.66
2013-12-31,49.87,$5.95,8.38
2013-09-30,38.75,$5.57,6.96
2013-06-30,34.87,$4.45,7.83
2013-03-31,30.55,$3.24,9.43
2012-12-31,30.03,$2.89,10.38
2012-09-30,28.04,$2.89,9.72
2012-06-30,30.04,$2.62,11.45
2012-03-31,30.66,$3.27,9.39
2011-12-31,28.74,$3.29,8.74
2011-09-30,29.48,$4.01,7.35
2011-06-30,31.81,$3.14,10.14
2011-03-31,28.67,$3.66,7.84
2010-12-31,26.58,$3.50,7.59
2010-09-30,22.81,$4.59,4.97
2010-06-30,23.06,$5.19,4.44
2010-03-31,24.58,$5.60,4.39
2009-12-31,21.89,$5.14,4.26
