Merck Price to Free Cash Flow Ratio Historical Data,Merck Price to Free Cash Flow Ratio Historical Data,Merck Price to Free Cash Flow Ratio Historical Data,Merck Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,94.73,,13.3
2024-12-31,99.48,$7.12,13.97
2024-09-30,112.65,$5.84,19.29
2024-06-30,122.01,$5.16,23.64
2024-03-31,129.26,$4.34,29.81
2023-12-31,106.12,$3.59,29.56
2023-09-30,99.49,$5.17,19.23
2023-06-30,110.76,$4.26,26.01
2023-03-31,101.44,$4.43,22.91
2022-12-31,105.07,$5.79,18.16
2022-09-30,81.03,$6.03,13.45
2022-06-30,85.1,$5.70,14.94
2022-03-31,75.97,$4.84,15.68
2021-12-31,70.34,$3.42,20.58
2021-09-30,68.29,$2.67,25.62
2021-06-30,70.08,$1.29,54.35
2021-03-31,68.87,$1.43,48.29
2020-12-31,72.45,$1.25,57.75
2020-09-30,72.88,$0.16,453.52
2020-06-30,67.45,$1.38,48.72
2020-03-31,66.58,$1.74,38.19
2019-12-31,78.08,$2.14,36.53
2019-09-30,71.78,$3.45,20.83
2019-06-30,71.03,$2.98,23.86
2019-03-31,69.99,$3.13,22.39
2018-12-31,63.87,$3.10,20.6
2018-09-30,58.87,$3.31,17.81
2018-06-30,50.03,$1.92,26.1
2018-03-31,44.55,$1.94,22.97
2017-12-31,45.62,$1.66,27.47
2017-09-30,51.47,$1.57,32.86
2017-06-30,51.16,$3.07,16.67
2017-03-31,50.34,$2.45,20.57
2016-12-31,46.3,$3.14,14.73
2016-09-30,48.72,$3.36,14.52
2016-06-30,44.64,$3.50,12.76
2016-03-31,40.66,$3.91,10.39
2015-12-31,40.25,$3.96,10.16
2015-09-30,37.3,$2.11,17.7
2015-06-30,42.63,$2.45,17.43
2015-03-31,42.72,$2.28,18.74
2014-12-31,41.87,$2.28,18.37
2014-09-30,43.37,$3.65,11.88
2014-06-30,42.02,$3.49,12.05
2014-03-31,40.93,$3.45,11.87
2013-12-31,35.8,$3.37,10.61
2013-09-30,33.75,$2.87,11.74
2013-06-30,32.63,$2.52,12.95
2013-03-31,30.77,$2.68,11.48
2012-12-31,28.23,$2.62,10.76
2012-09-30,30.8,$3.13,9.83
2012-06-30,28.25,$3.60,7.85
2012-03-31,25.7,$3.59,7.16
2011-12-31,24.96,$3.45,7.24
2011-09-30,21.39,$3.51,6.1
2011-06-30,22.81,$2.90,7.88
2011-03-31,21.11,$3.06,6.91
2010-12-31,22.78,$2.93,7.77
2010-09-30,23.03,$2.75,8.36
2010-06-30,21.65,$1.72,12.55
2010-03-31,22.87,$0.95,24.11
2009-12-31,22.15,$0.85,26.07
