Cellectar Biosciences Price to Free Cash Flow Ratio Historical Data,Cellectar Biosciences Price to Free Cash Flow Ratio Historical Data,Cellectar Biosciences Price to Free Cash Flow Ratio Historical Data,Cellectar Biosciences Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.38,,0.0
2024-12-31,0.3,$-1.28,0.0
2024-09-30,2.14,$-1.58,0.0
2024-06-30,2.5,$-2.15,0.0
2024-03-31,3.98,$-2.54,0.0
2023-12-31,2.77,$-2.72,0.0
2023-09-30,2.64,$-2.74,0.0
2023-06-30,1.95,$-3.13,0.0
2023-03-31,1.43,$-3.42,0.0
2022-12-31,1.71,$-3.61,0.0
2022-09-30,3.36,$-4.01,0.0
2022-06-30,4.04,$-3.67,0.0
2022-03-31,6.88,$-3.93,0.0
2021-12-31,6.64,$-4.09,0.0
2021-09-30,9.25,$-6.24,0.0
2021-06-30,11.9,$-4.48,0.0
2021-03-31,16.1,$-4.30,0.0
2020-12-31,20.8,$-7.06,0.0
2020-09-30,12.4,$-9.49,0.0
2020-06-30,12.8,$-12.18,0.0
2020-03-31,13.33,$-13.11,0.0
2019-12-31,22.5,$-15.27,0.0
2019-09-30,20.0,$-22.19,0.0
2019-06-30,21.8,$-14.52,0.0
2019-03-31,23.5,$-26.70,0.0
2018-12-31,15.5,$-39.74,0.0
2018-09-30,30.0,$-44.78,0.0
2018-06-30,62.0,$-69.75,0.0
2018-03-31,113.5,$-74.54,0.0
2017-12-31,137.0,$-81.01,0.0
2017-09-30,167.0,$-144.10,0.0
2017-06-30,163.0,$-149.64,0.0
2017-03-31,227.0,$-16.15,0.0
2016-12-31,122.0,$-191.33,0.0
2016-09-30,271.0,$-274.86,0.0
2016-06-30,344.0,$-537.24,0.0
2016-03-31,341.83,$-942.11,0.0
2015-12-31,735.0,"$-1,057.76",0.0
2015-09-30,1970.0,"$-1,484.77",0.0
2015-06-30,2880.0,$-929.02,0.0
2015-03-31,3110.0,"$-1,338.28",0.0
2014-12-31,3090.0,"$-1,931.35",0.0
2014-09-30,2220.0,"$-2,364.69",0.0
2014-06-30,6390.0,"$-3,537.99",0.0
2014-03-31,7800.0,"$-3,464.71",0.0
2013-12-31,7400.0,"$-3,328.25",0.0
2013-09-30,7200.0,"$-3,276.90",0.0
2013-06-30,9200.0,"$-4,649.33",0.0
2013-03-31,9200.0,"$-4,023.08",0.0
2012-12-31,14800.0,"$-3,250.26",0.0
2012-09-30,21000.0,"$-2,277.13",0.0
2012-06-30,23800.0,$-0.22,0.0
2012-03-31,17000.0,$-0.28,0.0
2011-12-31,8800.0,$-0.25,0.0
2011-09-30,25400.0,$-866.58,0.0
2011-06-30,26000.0,$-866.57,0.0
2011-03-31,61200.0,$-862.93,0.0
2010-12-31,91800.0,$-866.67,0.0
2010-09-30,153000.0,$-0.26,0.0
2010-06-30,336600.0,$-0.21,0.0
2010-03-31,550800.0,$-3.76,0.0
2009-12-31,7772400.0,0,0.0
