Capricor Therapeutics Price to Free Cash Flow Ratio Historical Data,Capricor Therapeutics Price to Free Cash Flow Ratio Historical Data,Capricor Therapeutics Price to Free Cash Flow Ratio Historical Data,Capricor Therapeutics Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,14.36,,0.0
2024-09-30,15.21,$-1.22,0.0
2024-06-30,4.77,$-1.25,0.0
2024-03-31,6.79,$-1.24,0.0
2023-12-31,4.89,$-1.03,0.0
2023-09-30,3.42,$-0.93,0.0
2023-06-30,4.78,$-0.85,0.0
2023-03-31,4.22,$-0.75,0.0
2022-12-31,3.86,$0.06,60.88
2022-09-30,6.0,$0.14,43.96
2022-06-30,3.49,$0.26,13.63
2022-03-31,3.43,$0.34,10.21
2021-12-31,2.93,$-0.78,0.0
2021-09-30,4.02,$-0.87,0.0
2021-06-30,5.13,$-0.82,0.0
2021-03-31,4.68,$-0.66,0.0
2020-12-31,3.43,$-0.68,0.0
2020-09-30,5.25,$-0.82,0.0
2020-06-30,4.6,$-1.08,0.0
2020-03-31,1.2,$-1.54,0.0
2019-12-31,1.28,$-1.84,0.0
2019-09-30,3.7,$5.06,0.73
2019-06-30,3.32,$4.53,0.73
2019-03-31,4.66,$3.86,1.21
2018-12-31,4.1,$3.00,1.37
2018-09-30,10.5,$-3.77,0.0
2018-06-30,13.4,$-4.05,0.0
2018-03-31,13.6,$-4.48,0.0
2017-12-31,15.8,$-5.32,0.0
2017-09-30,30.3,$-6.81,0.0
2017-06-30,8.3,$-6.59,0.0
2017-03-31,33.8,$-7.53,0.0
2016-12-31,26.6,$-7.90,0.0
2016-09-30,32.43,$-8.44,0.0
2016-06-30,39.5,$-9.53,0.0
2016-03-31,25.4,$-8.05,0.0
2015-12-31,30.74,$-6.90,0.0
2015-09-30,40.5,$-6.36,0.0
2015-06-30,50.5,$-6.24,0.0
2015-03-31,86.2,$-10.37,0.0
2014-12-31,37.5,$0.66,56.81
2014-09-30,38.5,$2.76,13.93
2014-06-30,44.0,$0.32,138.23
2014-03-31,85.0,$4.86,17.49
2013-12-31,32.5,$-5.90,0.0
2013-09-30,25.0,$14.40,1.74
2013-06-30,25.0,$13.08,1.91
2013-03-31,50.0,$4.37,11.44
2012-12-31,25.0,$-2.09,0.0
2012-09-30,55.0,$-46.14,0.0
2012-06-30,50.0,$-44.63,0.0
2012-03-31,250.0,$-51.70,0.0
2011-12-31,275.0,$-62.27,0.0
2011-09-30,315.0,$-58.75,0.0
2011-06-30,390.0,$-68.78,0.0
2011-03-31,410.0,$-63.88,0.0
2010-12-31,310.0,$-67.15,0.0
2010-09-30,315.0,$-72.78,0.0
2010-06-30,165.0,$-69.77,0.0
2010-03-31,490.0,$-96.12,0.0
2009-12-31,605.0,$-113.81,0.0
