Consumer Portfolio Services Price to Free Cash Flow Ratio Historical Data,Consumer Portfolio Services Price to Free Cash Flow Ratio Historical Data,Consumer Portfolio Services Price to Free Cash Flow Ratio Historical Data,Consumer Portfolio Services Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,8.98,,0.94
2024-12-31,10.86,$9.59,1.13
2024-09-30,9.38,$9.06,1.04
2024-06-30,9.8,$8.61,1.14
2024-03-31,7.56,$8.99,0.84
2023-12-31,9.37,$9.41,1.0
2023-09-30,9.07,$9.13,0.99
2023-06-30,11.67,$8.51,1.37
2023-03-31,10.69,$8.19,1.3
2022-12-31,8.85,$8.04,1.1
2022-09-30,7.27,$7.56,0.96
2022-06-30,10.25,$7.46,1.37
2022-03-31,10.16,$7.42,1.37
2021-12-31,11.85,$7.61,1.56
2021-09-30,5.8,$8.17,0.71
2021-06-30,4.5,$8.95,0.5
2021-03-31,4.03,$9.88,0.41
2020-12-31,4.24,$9.95,0.43
2020-09-30,3.3,$9.88,0.33
2020-06-30,2.83,$9.74,0.29
2020-03-31,1.36,$9.24,0.15
2019-12-31,3.37,$8.98,0.38
2019-09-30,3.59,$9.26,0.39
2019-06-30,3.8,$9.27,0.41
2019-03-31,3.49,$8.56,0.41
2018-12-31,3.01,$8.61,0.35
2018-09-30,3.7,$8.02,0.46
2018-06-30,4.07,$7.77,0.52
2018-03-31,3.77,$8.16,0.46
2017-12-31,4.15,$7.90,0.53
2017-09-30,4.56,$7.43,0.61
2017-06-30,4.55,$6.98,0.65
2017-03-31,4.71,$6.92,0.68
2016-12-31,5.12,$6.72,0.76
2016-09-30,4.59,$7.10,0.65
2016-06-30,3.77,$7.02,0.54
2016-03-31,4.23,$6.36,0.67
2015-12-31,5.19,$5.90,0.88
2015-09-30,4.98,$5.44,0.92
2015-06-30,6.25,$4.89,1.28
2015-03-31,6.99,$4.64,1.51
2014-12-31,7.36,$4.21,1.75
2014-09-30,6.41,$3.99,1.61
2014-06-30,7.62,$3.95,1.93
2014-03-31,6.84,$3.59,1.9
2013-12-31,9.39,$3.13,3.0
2013-09-30,5.93,$3.00,1.97
2013-06-30,7.34,$2.27,3.23
2013-03-31,11.71,$1.83,6.41
2012-12-31,5.36,$1.36,3.95
2012-09-30,3.0,$0.98,3.07
2012-06-30,1.92,$0.84,2.29
2012-03-31,1.25,$0.55,2.27
2011-12-31,0.89,$0.55,1.63
2011-09-30,0.99,$0.30,3.24
2011-06-30,1.18,$0.78,1.5
2011-03-31,1.15,$1.48,0.77
2010-12-31,1.19,$2.44,0.49
2010-09-30,0.89,$2.11,0.42
2010-06-30,1.37,$2.52,0.54
2010-03-31,2.25,$3.68,0.61
2009-12-31,1.17,$3.95,0.3
