Montauk Renewables Price to Free Cash Flow Ratio Historical Data,Montauk Renewables Price to Free Cash Flow Ratio Historical Data,Montauk Renewables Price to Free Cash Flow Ratio Historical Data,Montauk Renewables Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.14,,0.0
2024-12-31,3.98,$-0.12,0.0
2024-09-30,5.21,$-0.05,0.0
2024-06-30,5.7,$-0.17,0.0
2024-03-31,4.16,$-0.03,0.0
2023-12-31,8.91,$-0.16,0.0
2023-09-30,9.11,$-0.10,0.0
2023-06-30,7.44,$0.10,78.23
2023-03-31,7.87,$0.18,42.82
2022-12-31,11.03,$0.42,26.26
2022-09-30,17.44,$0.47,36.78
2022-06-30,10.05,$0.35,29.12
2022-03-31,11.2,$0.25,45.33
2021-12-31,10.25,$0.23,43.84
