Lexaria Bioscience Price to Free Cash Flow Ratio Historical Data,Lexaria Bioscience Price to Free Cash Flow Ratio Historical Data,Lexaria Bioscience Price to Free Cash Flow Ratio Historical Data,Lexaria Bioscience Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,1.58,,0.0
2024-11-30,2.08,$-0.44,0.0
2024-08-31,3.91,$-0.40,0.0
2024-05-31,3.89,$-0.45,0.0
2024-02-29,3.45,$-0.64,0.0
2023-11-30,1.5,$-0.81,0.0
2023-08-31,1.05,$-0.89,0.0
2023-05-31,0.74,$-0.87,0.0
2023-02-28,3.03,$-0.84,0.0
2022-11-30,2.96,$-0.84,0.0
2022-08-31,2.96,$-0.84,0.0
2022-05-31,2.05,$-0.97,0.0
2022-02-28,3.55,$-0.91,0.0
2021-11-30,5.3,$-1.06,0.0
