Malibu Boats Price to Free Cash Flow Ratio Historical Data,Malibu Boats Price to Free Cash Flow Ratio Historical Data,Malibu Boats Price to Free Cash Flow Ratio Historical Data,Malibu Boats Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,29.83,,27.27
2024-12-31,37.59,$1.09,34.37
2024-09-30,38.81,$2.41,16.11
2024-06-30,35.04,$-0.99,0.0
2024-03-31,43.28,$1.97,22.02
2023-12-31,54.82,$3.14,17.48
2023-09-30,49.02,$1.11,43.98
2023-06-30,58.66,$6.30,9.31
2023-03-31,56.45,$4.59,12.31
2022-12-31,53.3,$5.12,10.41
2022-09-30,47.99,$5.70,8.41
2022-06-30,52.71,$5.23,10.08
2022-03-31,58.01,$4.69,12.37
2021-12-31,68.73,$3.38,20.34
2021-09-30,69.98,$3.94,17.74
2021-06-30,73.33,$4.79,15.31
2021-03-31,79.68,$4.32,18.44
2020-12-31,62.44,$3.89,16.07
2020-09-30,49.56,$3.07,16.12
2020-06-30,51.95,$2.58,20.16
2020-03-31,28.79,$3.45,8.34
2019-12-31,40.95,$3.26,12.55
2019-09-30,30.68,$3.31,9.26
2019-06-30,38.85,$3.03,12.82
2019-03-31,39.58,$2.19,18.05
2018-12-31,34.8,$2.66,13.07
2018-09-30,54.72,$2.74,19.98
2018-06-30,41.94,$2.37,17.66
2018-03-31,33.21,$2.04,16.25
2017-12-31,29.73,$1.62,18.33
2017-09-30,31.64,$1.32,23.97
2017-06-30,25.87,$1.48,17.45
2017-03-31,22.45,$2.02,11.09
2016-12-31,19.08,$2.03,9.39
2016-09-30,14.9,$1.74,8.58
2016-06-30,12.08,$1.65,7.34
2016-03-31,16.4,$1.50,10.92
2015-12-31,16.37,$1.48,11.08
2015-09-30,13.98,$0.38,36.35
2015-06-30,20.09,$0.46,44.01
2015-03-31,23.35,$1.04,22.49
2014-12-31,19.27,$1.15,16.73
