Nathan's Famous Price to Free Cash Flow Ratio Historical Data,Nathan's Famous Price to Free Cash Flow Ratio Historical Data,Nathan's Famous Price to Free Cash Flow Ratio Historical Data,Nathan's Famous Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,93.59,,15.57
2024-12-31,78.61,$6.01,13.08
2024-09-30,80.42,$5.67,14.18
2024-06-30,66.95,$5.52,12.13
2024-03-31,69.42,$4.82,14.41
2023-12-31,75.93,$4.87,15.6
2023-09-30,68.27,$5.15,13.26
2023-06-30,75.36,$5.08,14.85
2023-03-31,72.09,$4.70,15.35
2022-12-31,63.69,$4.66,13.67
2022-09-30,59.91,$4.05,14.79
2022-06-30,54.74,$4.00,13.68
2022-03-31,50.19,$3.85,13.04
2021-12-31,53.67,$3.73,14.4
2021-09-30,55.91,$2.67,20.91
2021-06-30,64.85,$2.03,31.95
2021-03-31,57.08,$2.72,20.95
2020-12-31,49.67,$2.52,19.69
2020-09-30,45.83,$3.46,13.25
2020-06-30,49.96,$3.67,13.63
2020-03-31,53.88,$2.72,19.79
2019-12-31,62.27,$2.36,26.38
2019-09-30,62.84,$4.34,14.48
2019-06-30,67.96,$5.99,11.34
2019-03-31,59.2,$5.56,10.64
2018-12-31,57.31,$7.29,7.86
2018-09-30,70.82,$5.76,12.29
2018-06-30,80.65,$2.65,30.46
2018-03-31,63.17,$4.34,14.56
2017-12-31,64.54,$1.87,34.53
2017-09-30,59.38,$1.75,33.9
2017-06-30,50.59,$2.09,24.25
2017-03-31,50.3,$2.21,22.79
2016-12-31,52.11,$1.71,30.52
2016-09-30,42.19,$2.34,18.03
2016-06-30,35.73,$2.29,15.61
2016-03-31,35.01,$2.57,13.6
2015-12-31,41.4,$3.38,12.26
2015-09-30,30.53,$2.72,11.23
2015-06-30,29.76,$3.35,8.88
2015-03-31,43.48,$2.56,16.98
2014-12-31,43.3,$3.05,14.22
2014-09-30,36.64,$2.53,14.48
2014-06-30,29.33,$1.00,29.24
2014-03-31,26.51,$-0.32,0.0
2013-12-31,27.28,$-0.86,0.0
2013-09-30,28.57,$-0.26,0.0
2013-06-30,28.28,$1.03,27.41
2013-03-31,22.87,$1.85,12.35
2012-12-31,18.24,$1.98,9.23
2012-09-30,17.02,$1.67,10.18
2012-06-30,15.97,$1.56,10.24
2012-03-31,11.47,$1.63,7.02
2011-12-31,11.38,$1.46,7.81
2011-09-30,10.28,$1.38,7.47
2011-06-30,10.22,$1.13,9.04
2011-03-31,9.27,$1.09,8.53
2010-12-31,9.12,$1.26,7.23
2010-09-30,8.63,$1.03,8.4
2010-06-30,8.41,$1.04,8.06
2010-03-31,8.38,$0.87,9.59
2009-12-31,8.26,$0.96,8.62
