FGI Industries Price to Free Cash Flow Ratio Historical Data,FGI Industries Price to Free Cash Flow Ratio Historical Data,FGI Industries Price to Free Cash Flow Ratio Historical Data,FGI Industries Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.8,,0.0
2024-09-30,0.77,$-0.70,0.0
2024-06-30,1.12,$-0.72,0.0
2024-03-31,1.49,$-0.74,0.0
2023-12-31,1.64,$0.06,29.34
2023-09-30,1.45,$0.57,2.55
2023-06-30,1.73,$1.03,1.68
2023-03-31,1.95,$0.68,2.85
2022-12-31,2.15,$-0.01,0.0
