Autoliv Price to Free Cash Flow Ratio Historical Data,Autoliv Price to Free Cash Flow Ratio Historical Data,Autoliv Price to Free Cash Flow Ratio Historical Data,Autoliv Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,90.88,,14.7
2024-12-31,93.79,$6.18,15.17
2024-09-30,92.7,$6.11,15.18
2024-06-30,105.51,$6.24,16.92
2024-03-31,118.12,$6.83,17.29
2023-12-31,107.46,$4.85,22.17
2023-09-30,93.46,$4.78,19.54
2023-06-30,81.83,$4.98,16.44
2023-03-31,89.11,$-0.18,0.0
2022-12-31,72.59,$2.63,27.64
2022-09-30,62.68,$1.07,58.72
2022-06-30,66.74,$1.18,56.62
2022-03-31,70.69,$2.96,23.86
2021-12-31,94.77,$3.42,27.7
2021-09-30,78.04,$3.00,25.99
2021-06-30,88.36,$7.91,11.17
2021-03-31,83.39,$6.10,13.67
2020-12-31,82.76,$5.82,14.23
2020-09-30,65.49,$6.61,9.92
2020-06-30,57.97,$1.64,35.26
2020-03-31,41.35,$2.14,19.29
2019-12-31,75.24,$1.89,39.86
2019-09-30,69.77,$1.45,48.28
2019-06-30,61.78,$1.99,31.03
2019-03-31,63.83,$2.35,27.16
2018-12-31,60.5,$0.41,147.52
2018-09-30,74.12,$-3.61,0.0
2018-06-30,85.61,$0.64,134.09
2018-03-31,86.87,$2.45,35.52
2017-12-31,75.33,$4.18,18.04
2017-09-30,72.91,$7.94,9.18
2017-06-30,64.41,$4.04,15.96
2017-03-31,59.63,$3.26,18.29
2016-12-31,65.63,$4.18,15.69
2016-09-30,61.58,$4.97,12.38
2016-06-30,61.61,$4.32,14.25
2016-03-31,67.62,$5.14,13.17
2015-12-31,70.83,$3.40,20.81
2015-09-30,61.6,$2.17,28.39
2015-06-30,65.63,$2.13,30.77
2015-03-31,65.91,$1.33,49.56
2014-12-31,59.1,$2.81,21.06
2014-09-30,50.91,$3.68,13.83
2014-06-30,58.72,$3.81,15.4
2014-03-31,55.01,$5.19,10.59
2013-12-31,50.05,$4.78,10.47
2013-09-30,47.38,$4.33,10.95
2013-06-30,41.7,$3.49,11.94
2013-03-31,37.02,$3.81,9.71
2012-12-31,35.83,$3.45,10.38
2012-09-30,32.66,$4.00,8.17
2012-06-30,28.59,$4.80,5.96
2012-03-31,34.78,$3.84,9.06
2011-12-31,27.55,$4.28,6.43
2011-09-30,24.78,$4.89,5.06
2011-06-30,39.75,$5.21,7.63
2011-03-31,37.4,$6.99,5.35
2010-12-31,39.57,$7.58,5.22
2010-09-30,32.59,$7.42,4.39
2010-06-30,23.75,$7.13,3.33
2010-03-31,25.58,$6.13,4.17
2009-12-31,21.52,$4.29,5.02
