ReposiTrak Price to Free Cash Flow Ratio Historical Data,ReposiTrak Price to Free Cash Flow Ratio Historical Data,ReposiTrak Price to Free Cash Flow Ratio Historical Data,ReposiTrak Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,19.84,,38.7
2024-12-31,22.13,$0.51,43.17
2024-09-30,18.47,$0.38,48.46
2024-06-30,15.28,$0.36,41.97
2024-03-31,15.82,$0.35,44.75
2023-12-31,9.98,$0.39,25.51
2023-09-30,8.72,$0.41,21.31
2023-06-30,10.03,$0.42,23.65
2023-03-31,6.23,$0.44,14.29
2022-12-31,4.89,$0.32,15.21
2022-09-30,5.27,$0.35,14.96
2022-06-30,4.33,$0.38,11.31
2022-03-31,5.2,$0.37,14.03
2021-12-31,5.71,$0.30,19.26
2021-09-30,5.36,$0.32,16.64
2021-06-30,5.42,$0.26,21.08
2021-03-31,6.01,$0.26,23.25
2020-12-31,4.71,$0.26,18.16
2020-09-30,4.85,$0.22,21.83
2020-06-30,4.16,$0.18,23.33
2020-03-31,3.74,$0.07,55.33
2019-12-31,4.98,$0.17,29.61
2019-09-30,5.68,$0.09,61.27
2019-06-30,5.28,$0.15,34.33
2019-03-31,7.86,$0.19,41.68
2018-12-31,5.88,$0.13,45.73
2018-09-30,9.94,$0.13,77.37
2018-06-30,7.78,$0.09,84.61
2018-03-31,8.61,$0.01,0.0
2017-12-31,9.4,$0.05,188.38
2017-09-30,11.96,$0.06,188.34
2017-06-30,11.96,$0.01,824.79
2017-03-31,12.16,$0.09,136.28
2016-12-31,12.5,$0.03,400.67
2016-09-30,11.61,$0.01,795.54
2016-06-30,8.83,$0.01,706.34
2016-03-31,8.9,$0.07,124.45
2015-12-31,11.72,$0.06,184.62
2015-09-30,10.4,$0.04,260.11
2015-06-30,12.2,$0.08,158.39
2015-03-31,13.56,$0.04,309.68
2014-12-31,8.88,$0.04,217.61
2014-09-30,9.71,$0.04,273.39
2014-06-30,10.72,$-0.03,0.0
2014-03-31,8.93,$-0.11,0.0
2013-12-31,10.0,$-0.15,0.0
2013-09-30,8.59,$-0.10,0.0
2013-06-30,7.46,$-0.04,0.0
2013-03-31,3.64,$0.02,231.97
2012-12-31,2.95,$0.08,38.8
2012-09-30,3.25,$0.08,39.61
2012-06-30,3.89,$0.06,60.28
2012-03-31,3.0,$0.06,49.46
2011-12-31,3.0,$0.07,43.38
2011-09-30,4.04,$0.08,52.28
2011-06-30,4.68,$0.08,60.1
2011-03-31,5.41,$0.12,44.37
2010-12-31,5.36,$0.09,58.44
2010-09-30,4.68,$0.08,62.34
2010-06-30,3.74,$0.08,46.52
2010-03-31,3.64,$0.02,229.06
2009-12-31,3.26,$-0.06,0.0
