GreenTree Hospitality Group Price to Free Cash Flow Ratio Historical Data,GreenTree Hospitality Group Price to Free Cash Flow Ratio Historical Data,GreenTree Hospitality Group Price to Free Cash Flow Ratio Historical Data,GreenTree Hospitality Group Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,2.59,,3.32
2024-09-30,3.09,$0.78,3.96
2024-06-30,2.35,$1.23,1.91
2024-03-31,3.01,$1.10,2.73
2023-09-30,4.22,$1.98,2.14
2023-06-30,5.02,$0.50,10.02
2021-12-31,7.67,$-0.30,0.0
2021-09-30,7.41,$-0.33,0.0
2021-06-30,10.0,$-1.11,0.0
2021-03-31,11.94,$0.22,55.34
2020-12-31,12.16,$0.27,44.59
2020-09-30,12.34,$0.10,119.88
2020-06-30,12.24,$0.10,117.54
2020-03-31,9.96,$0.08,132.06
2019-12-31,9.98,$0.43,23.47
2019-09-30,8.88,$0.68,13.12
2019-06-30,11.55,$0.76,15.17
2019-03-31,12.28,$0.68,18.0
2018-12-31,11.25,$0.61,18.42
