Runway Growth Finance Price to Free Cash Flow Ratio Historical Data,Runway Growth Finance Price to Free Cash Flow Ratio Historical Data,Runway Growth Finance Price to Free Cash Flow Ratio Historical Data,Runway Growth Finance Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,10.7,,0.0
2024-09-30,10.29,$-0.07,0.0
2024-06-30,11.76,$1.77,6.63
2024-03-31,12.12,$4.93,2.46
2023-12-31,12.62,$2.78,4.55
2023-09-30,12.82,$-0.46,0.0
2023-06-30,12.35,$-5.24,0.0
2023-03-31,12.13,$-8.77,0.0
2022-12-31,11.59,$-8.78,0.0
2022-09-30,11.37,$-5.82,0.0
