Hall Of Fame Resort & Entertainment Price to Free Cash Flow Ratio Historical Data,Hall Of Fame Resort & Entertainment Price to Free Cash Flow Ratio Historical Data,Hall Of Fame Resort & Entertainment Price to Free Cash Flow Ratio Historical Data,Hall Of Fame Resort & Entertainment Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,0.85,,0.0
2024-09-30,1.96,$-4.75,0.0
2024-06-30,2.88,$-6.86,0.0
2024-03-31,3.59,$-9.49,0.0
2023-12-31,3.25,$-12.42,0.0
2023-09-30,5.82,$-15.28,0.0
2023-06-30,10.45,$-19.49,0.0
2023-03-31,9.15,$-19.36,0.0
2022-12-31,8.06,$-19.21,0.0
2022-09-30,0.55,$-22.90,0.0
2022-06-30,0.59,$-21.12,0.0
2022-03-31,1.11,$-18.76,0.0
2021-12-31,1.52,$-22.29,0.0
2021-09-30,2.65,$-32.70,0.0
2021-06-30,3.93,$38.60,0.1
2021-03-31,5.02,$-15.36,0.0
2020-12-31,1.23,$-55.25,0.0
2020-09-30,2.49,$-85.24,0.0
2020-06-30,12.85,$-160.68,0.0
2020-03-31,10.15,$-110.17,0.0
2019-12-31,10.59,$-63.84,0.0
2019-09-30,10.47,$-14.83,0.0
2019-06-30,10.33,$-5.39,0.0
2019-03-31,10.21,$-1.79,0.0
2018-12-31,10.0,$-1.88,0.0
