Harte Hanks Price to Free Cash Flow Ratio Historical Data,Harte Hanks Price to Free Cash Flow Ratio Historical Data,Harte Hanks Price to Free Cash Flow Ratio Historical Data,Harte Hanks Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,4.62,,0.0
2024-09-30,7.44,$-0.96,0.0
2024-06-30,8.12,$-0.11,0.0
2024-03-31,7.48,$0.04,205.49
2023-12-31,6.79,$1.05,6.47
2023-09-30,6.51,$1.52,4.28
2023-06-30,5.48,$2.68,2.04
2023-03-31,9.41,$3.54,2.66
2022-12-31,11.69,$3.09,3.78
2022-09-30,11.15,$2.72,4.11
2022-06-30,12.74,$0.98,12.94
2022-03-31,7.57,$0.02,318.07
2021-12-31,7.6,$-0.65,0.0
2021-09-30,2.69,$-0.82,0.0
2021-06-30,2.69,$-1.23,0.0
2021-03-31,2.69,$-1.58,0.0
2020-12-31,2.69,$-1.33,0.0
2020-09-30,2.69,$-1.39,0.0
2020-06-30,3.04,$-1.60,0.0
2020-03-31,1.57,$1.43,1.09
2019-12-31,3.58,$1.51,2.37
2019-09-30,3.05,$0.67,4.55
2019-06-30,2.2,$0.08,28.91
2019-03-31,3.57,$-2.90,0.0
2018-12-31,2.42,$-2.10,0.0
2018-09-30,7.13,$-0.00,0.0
2018-06-30,11.1,$1.42,7.84
2018-03-31,9.16,$-5.35,0.0
2017-12-31,9.49,$-5.89,0.0
2017-09-30,10.7,$-9.26,0.0
2017-06-30,10.3,$-8.47,0.0
2017-03-31,14.0,$0.78,17.94
2016-12-31,15.1,$1.41,10.73
2016-09-30,16.2,$3.58,4.52
2016-06-30,15.9,$3.02,5.27
2016-03-31,25.3,$1.52,16.69
2015-12-31,31.54,$4.11,7.68
2015-09-30,33.58,$4.59,7.32
2015-06-30,55.53,$5.31,10.45
2015-03-31,71.72,$4.90,14.65
2014-12-31,70.41,$2.70,26.04
2014-09-30,57.17,$5.19,11.01
2014-06-30,63.76,$4.59,13.9
2014-03-31,77.56,$6.25,12.42
2013-12-31,67.89,$7.55,8.99
2013-09-30,75.79,$9.20,8.24
2013-06-30,73.07,$10.85,6.74
2013-03-31,65.54,$10.50,6.24
2012-12-31,49.64,$10.10,4.91
2012-09-30,56.41,$9.19,6.14
2012-06-30,73.47,$9.10,8.08
2012-03-31,71.98,$9.17,7.85
2011-12-31,71.56,$6.81,10.5
2011-09-30,66.18,$7.21,9.18
2011-06-30,62.68,$8.72,7.19
2011-03-31,91.0,$6.77,13.43
2010-12-31,97.02,$12.28,7.9
2010-09-30,88.1,$10.68,8.25
2010-06-30,78.29,$10.49,7.46
2010-03-31,95.77,$16.28,5.88
2009-12-31,79.75,$16.46,4.85
