Haynes Price to Free Cash Flow Ratio Historical Data,Haynes Price to Free Cash Flow Ratio Historical Data,Haynes Price to Free Cash Flow Ratio Historical Data,Haynes Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2024-11-07,60.48,,39.15
2024-06-30,58.49,$1.54,37.86
2024-03-31,59.68,$1.01,59.03
2023-12-31,56.42,$-0.78,0.0
2023-09-30,45.8,$-2.59,0.0
2023-06-30,49.81,$-3.41,0.0
2023-03-31,48.85,$-6.11,0.0
2022-12-31,44.38,$-6.23,0.0
2022-09-30,33.96,$-7.56,0.0
2022-06-30,31.52,$-7.00,0.0
2022-03-31,40.74,$-4.50,0.0
2021-12-31,38.34,$-2.16,0.0
2021-09-30,35.21,$1.39,25.42
2021-06-30,33.26,$3.99,8.34
2021-03-31,27.72,$4.73,5.86
2020-12-31,22.1,$3.16,6.99
2020-09-30,15.68,$2.15,7.29
2020-06-30,21.18,$1.99,10.67
2020-03-31,18.51,$1.85,9.99
2019-12-31,31.86,$2.63,12.09
2019-09-30,31.72,$2.64,11.99
2019-06-30,27.94,$1.51,18.46
2019-03-31,28.63,$0.41,69.7
2018-12-31,22.88,$-0.85,0.0
2018-09-30,30.56,$-2.00,0.0
2018-06-30,31.45,$-2.26,0.0
2018-03-31,31.6,$-2.59,0.0
2017-12-31,27.15,$-1.96,0.0
2017-09-30,30.21,$-0.59,0.0
2017-06-30,30.33,$1.29,23.57
2017-03-31,31.65,$1.54,20.5
2016-12-31,35.49,$2.17,16.36
2016-09-30,30.49,$1.81,16.86
2016-06-30,26.2,$0.75,34.92
2016-03-31,29.58,$2.20,13.46
2015-12-31,29.52,$3.00,9.85
2015-09-30,30.28,$2.42,12.52
2015-06-30,39.24,$1.72,22.78
2015-03-31,35.33,$-0.30,0.0
2014-12-31,38.2,$-2.57,0.0
2014-09-30,36.06,$-1.03,0.0
2014-06-30,44.18,$1.48,29.83
2014-03-31,41.99,$1.94,21.59
2013-12-31,42.76,$2.12,20.15
2013-09-30,34.89,$2.60,13.43
2013-06-30,36.73,$0.21,177.6
2013-03-31,42.24,$0.59,71.68
2012-12-31,39.46,$1.61,24.57
2012-09-30,39.49,$-0.42,0.0
2012-06-30,38.39,$0.64,60.32
2012-03-31,47.55,$0.97,48.79
2011-12-31,40.84,$0.39,106.02
2011-09-30,32.37,$0.42,76.24
2011-06-30,45.98,$0.15,310.87
2011-03-31,41.02,$-2.94,0.0
2010-12-31,30.82,$-12.11,0.0
2010-09-30,25.6,$-10.04,0.0
2010-06-30,22.45,$-6.29,0.0
2010-03-31,25.72,$-0.25,0.0
2009-09-30,22.71,$9.22,2.46
