Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data,Broadcom Price to Free Cash Flow Ratio Historical Data
Date,Stock Price,TTM FCF per Share,Price to FCF Ratio
2025-03-20,190.54,,44.3
2025-01-31,221.27,$4.30,51.45
2024-10-31,169.77,$4.06,41.78
2024-07-31,160.17,$4.09,39.15
2024-04-30,129.19,$4.09,31.62
2024-01-31,116.76,$4.22,27.69
2023-10-31,82.87,$4.13,20.08
2023-07-31,88.03,$4.12,21.35
2023-04-30,61.04,$4.02,15.17
2023-01-31,56.59,$3.98,14.21
2022-10-31,45.1,$3.85,11.7
2022-07-31,50.93,$3.56,14.3
2022-04-30,52.3,$3.38,15.46
2022-01-31,54.9,$3.19,17.19
2021-10-31,49.51,$3.11,15.94
2021-07-31,44.87,$3.07,14.6
2021-04-30,41.85,$2.99,13.99
2021-01-31,41.01,$2.93,14.0
2020-10-31,31.57,$2.75,11.46
2020-07-31,28.34,$2.55,11.12
2020-04-30,24.04,$2.41,9.96
2020-01-31,26.56,$2.27,11.68
2019-10-31,25.23,$2.23,11.3
2019-07-31,24.76,$2.28,10.84
2019-04-30,26.92,$2.20,12.25
2019-01-31,22.48,$2.05,10.94
2018-10-31,18.53,$1.97,9.41
2018-07-31,18.25,$1.91,9.54
2018-04-30,18.76,$1.73,10.85
2018-01-31,20.14,$1.57,12.81
2017-10-31,21.28,$1.41,15.13
2017-07-31,19.81,$1.18,16.77
2017-04-30,17.66,$1.04,16.92
2017-01-31,15.88,$0.82,19.33
2016-10-31,13.48,$0.70,19.17
2016-07-31,12.78,$0.56,22.75
2016-04-30,11.47,$0.54,21.25
2016-01-31,10.49,$0.64,16.27
2015-10-31,9.63,$0.65,14.74
2015-07-31,9.75,$0.52,18.89
2015-04-30,9.08,$0.45,19.97
2015-01-31,7.97,$0.34,23.34
2014-10-31,6.66,$0.29,23.21
2014-07-31,5.34,$0.29,18.44
2014-04-30,4.87,$0.23,21.4
2014-01-31,4.17,$0.22,19.36
2013-10-31,3.45,$0.19,17.88
2013-07-31,2.77,$0.19,14.72
2013-04-30,2.4,$0.19,12.96
2013-01-31,2.67,$0.19,13.99
2012-10-31,2.45,$0.18,13.57
2012-07-31,2.73,$0.19,14.56
2012-04-30,2.54,$0.24,10.77
2012-01-31,2.49,$0.27,9.35
2011-10-31,2.47,$0.24,10.13
2011-07-31,2.45,$0.26,9.55
2011-04-30,2.43,$0.23,10.58
2011-01-31,2.08,$0.18,11.76
2010-10-31,1.78,$0.18,10.14
2010-07-31,1.57,$0.14,11.48
